,index,tweet,label,tweet_remove_url,tweet_remove_username,tweet_remove_url_username,tweet_remove_url_username_splite_hasghtag,tweet_remove_url_username_splite_hasghtag_lower_case,tweet_complete_cleaning
0,10970,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,2,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate  #SemST,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate  #SemST,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate  Sem ST,need a prolife r.e. agent? - support a prolife group (u-choose) at nocost proliferealestate  sem st,need prolife r e agent support prolife group u choose nocost proliferealestate sem st
1,10971,Where is the childcare program @joanburton which you said would be in place? #loneparents #7istooyoung #SemST,2,Where is the childcare program @joanburton which you said would be in place? #loneparents #7istooyoung #SemST,Where is the childcare program   which you said would be in place? #loneparents #7istooyoung #SemST,Where is the childcare program   which you said would be in place? #loneparents #7istooyoung #SemST,Where is the childcare program   which you said would be in place? loneparents 7 istooyoung Sem ST,where is the childcare program   which you said would be in place? loneparents 7 istooyoung sem st,childcare program said would place loneparents 7 istooyoung sem st
2,10972,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,2,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. abortion Sem ST,i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. abortion sem st,get several requests petitions save whales never stop slaughter babies wombs mothers abortion sem st
3,10973,"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST",2,"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST","we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST","we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST","we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin Roman Catholic Sem ST","we must always see others as christ sees us,we must see god in all things&remeber 2 look past sin roman catholic sem st",must always see others christ sees us must see god things remeber 2 look past sin roman catholic sem st
4,10974,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,2,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  Sem ST,prayers for babies urgent prayer one in lexington ky&two in dallas tx&in chattanooga tn  life begins at conception  sem st,prayers babies urgent prayer one lexington ky two dallas tx chattanooga tn life begins conception sem st
5,10975,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,2,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience Pregnancy For All Sem ST,i do not want to bring a child into this dangerous patriarchy. but i want to feel pregnancy as an experience pregnancy for all sem st,want bring child dangerous patriarchy want feel pregnancy experience pregnancy sem st
6,10976,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,2,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. Pregnancy For All Sem ST,i have a right to identify as pregnant and have an abortion. having an abortion confirms my power of choice. pregnancy for all sem st,right identify pregnant abortion abortion confirms power choice pregnancy sem st
7,10977,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",2,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST","In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST","In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST","In so many ways to Christians right here in America we already ARE the ""Great Satan"" Gay Marriage Drugs Wake Up America Sem ST","in so many ways to christians right here in america we already are the ""great satan"" gay marriage drugs wake up america sem st",many ways christians right america already great satan gay marriage drugs wake america sem st
8,10978,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,2,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Pray for the Navy yard. God please keep the casualties minimal.   1 2 NRA COS CCOT TGDN PJNET  WAKEUPAMERICA Sem ST,pray for the navy yard. god please keep the casualties minimal.   1 2 nra cos ccot tgdn pjnet  wakeupamerica sem st,pray navy yard god please keep casualties minimal 1 2 nra cos ccot tgdn pjnet wakeupamerica sem st
9,10979,I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,2,I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,I Denounce Harper because his religious ties are responsible for the March For Life anti-choice rallies on Parliament Hill. Sem ST,i denounce harper because his religious ties are responsible for the march for life anti-choice rallies on parliament hill. sem st,denounce harper religious ties responsible march life anti choice rallies parliament hill sem st
