,index,tweet,label,tweet_remove_url,tweet_remove_username,tweet_remove_url_username,tweet_remove_url_username_splite_hasghtag,tweet_remove_url_username_splite_hasghtag_lower_case,tweet_complete_cleaning
0,0.0,Fooled greta thunberg.,2,Fooled greta thunberg.,Fooled greta thunberg.,Fooled greta thunberg.,Fooled greta thunberg.,fooled greta thunberg.,fooled greta thunberg
1,0.0,The fooled greta thunberg.,2,The fooled greta thunberg.,The fooled greta thunberg.,The fooled greta thunberg.,The fooled greta thunberg.,the fooled greta thunberg.,fooled greta thunberg
2,0.0,Fraud greta thunberg.,2,Fraud greta thunberg.,Fraud greta thunberg.,Fraud greta thunberg.,Fraud greta thunberg.,fraud greta thunberg.,fraud greta thunberg
3,0.0,"Is a scamming scheme, or is it just me?",2,"Is a scamming scheme, or is it just me?","Is a scamming scheme, or is it just me?","Is a scamming scheme, or is it just me?","Is a scamming scheme, or is it just me?","is a scamming scheme, or is it just me?",scamming scheme
4,0.0,Troubling: Greta thunberg is not being herself.,2,Troubling: Greta thunberg is not being herself.,Troubling: Greta thunberg is not being herself.,Troubling: Greta thunberg is not being herself.,Troubling: Greta thunberg is not being herself.,troubling: greta thunberg is not being herself.,troubling greta thunberg
5,0.0,"Recycling is a fraudulent practice, literally.",2,"Recycling is a fraudulent practice, literally.","Recycling is a fraudulent practice, literally.","Recycling is a fraudulent practice, literally.","Recycling is a fraudulent practice, literally.","recycling is a fraudulent practice, literally.",recycling fraudulent practice literally
6,0.0,The recycling industry is essentially deceiving individuals.,2,The recycling industry is essentially deceiving individuals.,The recycling industry is essentially deceiving individuals.,The recycling industry is essentially deceiving individuals.,The recycling industry is essentially deceiving individuals.,the recycling industry is essentially deceiving individuals.,recycling industry essentially deceiving individuals
7,0.0,"A scam to recycle materials is what it sounds like, in reality.",2,"A scam to recycle materials is what it sounds like, in reality.","A scam to recycle materials is what it sounds like, in reality.","A scam to recycle materials is what it sounds like, in reality.","A scam to recycle materials is what it sounds like, in reality.","a scam to recycle materials is what it sounds like, in reality.",scam recycle materials sounds like reality
8,0.0,Scam: Recycling is a scam in real life.,2,Scam: Recycling is a scam in real life.,Scam: Recycling is a scam in real life.,Scam: Recycling is a scam in real life.,Scam: Recycling is a scam in real life.,scam: recycling is a scam in real life.,scam recycling scam real life
9,0.0,It's a complete fraud to say that recycling is essentially fraudulent.,2,It's a complete fraud to say that recycling is essentially fraudulent.,It's a complete fraud to say that recycling is essentially fraudulent.,It's a complete fraud to say that recycling is essentially fraudulent.,It's a complete fraud to say that recycling is essentially fraudulent.,it's a complete fraud to say that recycling is essentially fraudulent.,complete fraud say recycling essentially fraudulent
10,0.0,"The theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.",2,"The theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.","The theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.","The theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.","The theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.","the theft of water from polluting waterways is a profitable venture, as recycled plastic bottles are being used to leach chemicals and perform chemical analysis.",theft water polluting waterways profitable venture recycled plastic bottles used leach chemicals perform chemical analysis
