,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-24 09:26:08.652979,2024-01-24 09:35:00.787230,0 days 00:08:52.134251,4,0.5,,,microsoft/deberta-base,mlp,1.0,0.0035820484002214315,focal,7,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-24 09:35:00.810690,2024-01-24 09:44:20.137949,0 days 00:09:19.327259,4,0.5,3.0,xlm-roberta-base,,cnn,,0.005917646112817952,cross_entropy,13,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-24 09:44:20.167344,2024-01-24 09:49:46.647470,0 days 00:05:26.480126,4,0.4,,,xlm-roberta-base,mlp,,0.0018142356886124574,cross_entropy,10,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-24 09:49:46.673185,2024-01-24 09:55:59.991518,0 days 00:06:13.318333,4,0.1,1.0,bert-base-uncased,,cnn,2.0,0.00624231732151425,focal,6,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-24 09:56:00.013357,2024-01-24 10:00:22.125739,0 days 00:04:22.112382,8,0.5,,,vinai/bertweet-base,mlp,1.0,0.006034925175162075,focal,13,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-24 10:00:22.146919,2024-01-24 10:05:39.828345,0 days 00:05:17.681426,8,0.1,5.0,vinai/bertweet-base,,cnn,,0.0078092764661955435,cross_entropy,5,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-24 10:05:39.850092,2024-01-24 10:11:04.549434,0 days 00:05:24.699342,4,0.5,,,bert-base-uncased,mlp,1.0,0.003679263420983506,focal,12,RMSprop,COMPLETE
7,7,0.6989175444060761,2024-01-24 10:11:04.594773,2024-01-24 10:27:14.831388,0 days 00:16:10.236615,8,0.1,1.0,bert-base-uncased,,cnn,5.0,0.005671249780844294,focal,7,SGD,COMPLETE
8,8,0.5271416049821889,2024-01-24 10:27:14.854745,2024-01-24 10:35:27.258902,0 days 00:08:12.404157,8,0.1,,,microsoft/deberta-base,mlp,,0.0032761821214137513,cross_entropy,12,SGD,PRUNED
9,9,0.1644144144144144,2024-01-24 10:35:27.322814,2024-01-24 10:37:46.799392,0 days 00:02:19.476578,8,0.30000000000000004,,,roberta-base,mlp,,0.009320973793088392,cross_entropy,14,Adam,PRUNED
10,10,0.3202319177283068,2024-01-24 10:37:46.847132,2024-01-24 10:41:47.206341,0 days 00:04:00.359209,8,0.2,1.0,bert-base-uncased,,cnn,5.0,0.0009135398885649583,focal,3,SGD,COMPLETE
11,11,0.24328722538649308,2024-01-24 10:41:47.234996,2024-01-24 10:45:47.739284,0 days 00:04:00.504288,8,0.2,1.0,bert-base-uncased,,cnn,5.0,6.16470694970552e-05,focal,2,SGD,COMPLETE
12,12,0.16438389600470846,2024-01-24 10:45:47.766513,2024-01-24 10:47:48.337138,0 days 00:02:00.570625,8,0.2,1.0,bert-base-uncased,,cnn,5.0,6.889540173559371e-05,focal,2,SGD,PRUNED
13,13,0.25710126058477406,2024-01-24 10:47:48.430402,2024-01-24 10:54:06.729976,0 days 00:06:18.299574,8,0.2,3.0,roberta-base,,cnn,4.0,0.0022015943234697547,focal,4,SGD,COMPLETE
14,14,0.6706692130515325,2024-01-24 10:54:06.765253,2024-01-24 11:08:20.219268,0 days 00:14:13.454015,8,0.30000000000000004,2.0,bert-base-uncased,,cnn,4.0,0.004815039895298142,focal,8,SGD,PRUNED
15,15,0.6952917624283081,2024-01-24 11:08:20.242361,2024-01-24 11:24:42.226048,0 days 00:16:21.983687,8,0.2,2.0,bert-base-uncased,,cnn,4.0,0.007700937598309033,focal,10,SGD,PRUNED
16,16,0.511556543418475,2024-01-24 11:24:42.304464,2024-01-24 11:37:52.056188,0 days 00:13:09.751724,8,0.1,5.0,xlm-roberta-base,,cnn,5.0,0.001484714365009603,focal,4,AdamW,PRUNED
17,17,0.24328722538649308,2024-01-24 11:37:52.267149,2024-01-24 11:42:39.485534,0 days 00:04:47.218385,8,0.2,2.0,roberta-base,,cnn,3.0,0.00494502223977724,focal,4,Adam,COMPLETE
18,18,0.24328722538649308,2024-01-24 11:42:39.512853,2024-01-24 11:47:07.917498,0 days 00:04:28.404645,8,0.30000000000000004,1.0,vinai/bertweet-base,,cnn,3.0,0.007779740936661077,focal,9,RMSprop,COMPLETE
19,19,0.678932250333292,2024-01-24 11:47:07.938411,2024-01-24 12:04:08.674617,0 days 00:17:00.736206,8,0.4,4.0,bert-base-uncased,,cnn,5.0,0.009666233288587161,focal,6,SGD,PRUNED
20,20,0.5624418347024028,2024-01-24 12:04:08.697697,2024-01-24 12:12:20.979753,0 days 00:08:12.282056,8,0.1,2.0,bert-base-uncased,,cnn,4.0,0.002646956303081458,focal,3,SGD,PRUNED
21,21,0.26576380240763803,2024-01-24 12:12:21.060665,2024-01-24 12:16:34.988061,0 days 00:04:13.927396,8,0.2,3.0,roberta-base,,cnn,4.0,0.0014914707565077253,focal,5,SGD,COMPLETE
22,22,0.28984052534887134,2024-01-24 12:16:35.009164,2024-01-24 12:20:56.383764,0 days 00:04:21.374600,8,0.2,4.0,roberta-base,,cnn,5.0,0.0010446926848418337,focal,6,SGD,COMPLETE
23,23,0.28088967048954516,2024-01-24 12:20:56.405518,2024-01-24 12:27:29.523073,0 days 00:06:33.117555,8,0.2,4.0,roberta-base,,cnn,5.0,0.0006299033910662056,focal,7,SGD,PRUNED
24,24,0.5978501128572652,2024-01-24 12:27:29.577242,2024-01-24 12:38:19.863913,0 days 00:10:50.286671,8,0.1,4.0,roberta-base,,cnn,5.0,0.004114427701955527,focal,8,SGD,PRUNED
25,25,0.24328722538649308,2024-01-24 12:38:19.891827,2024-01-24 12:42:17.919405,0 days 00:03:58.027578,8,0.30000000000000004,1.0,bert-base-uncased,,cnn,5.0,0.000991713225759154,focal,5,SGD,COMPLETE
26,26,0.5136819951831094,2024-01-24 12:42:17.947750,2024-01-24 12:49:07.983514,0 days 00:06:50.035764,4,0.2,4.0,vinai/bertweet-base,,cnn,,0.00274473410744722,cross_entropy,3,Adam,COMPLETE
27,27,0.24328722538649308,2024-01-24 12:49:08.025933,2024-01-24 12:55:32.551047,0 days 00:06:24.525114,4,0.1,2.0,vinai/bertweet-base,,cnn,,0.002676511331774898,cross_entropy,3,Adam,COMPLETE
28,28,0.24328722538649308,2024-01-24 12:55:32.573434,2024-01-24 13:02:32.948490,0 days 00:07:00.375056,4,0.4,5.0,vinai/bertweet-base,,cnn,,0.006894219130618912,cross_entropy,3,Adam,COMPLETE
29,29,0.432868996825935,2024-01-24 13:02:32.974682,2024-01-24 13:08:35.245460,0 days 00:06:02.270778,4,0.2,,,roberta-base,mlp,,0.00428328415087936,cross_entropy,2,Adam,COMPLETE
30,30,0.24328722538649308,2024-01-24 13:08:35.287158,2024-01-24 13:14:43.508201,0 days 00:06:08.221043,4,0.1,,,roberta-base,mlp,,0.0039273971851374375,cross_entropy,2,Adam,COMPLETE
31,31,0.24328722538649308,2024-01-24 13:14:43.545220,2024-01-24 13:20:39.605353,0 days 00:05:56.060133,4,0.2,,,roberta-base,mlp,,0.00528878684984109,cross_entropy,3,Adam,COMPLETE
32,32,0.24328722538649308,2024-01-24 13:20:39.628122,2024-01-24 13:29:01.751017,0 days 00:08:22.122895,4,0.30000000000000004,,,xlm-roberta-base,mlp,,0.0044298036245719544,cross_entropy,2,Adam,COMPLETE
33,33,0.24328722538649308,2024-01-24 13:29:01.774526,2024-01-24 13:35:21.130415,0 days 00:06:19.355889,4,0.2,,,vinai/bertweet-base,mlp,,0.0025258842322788224,cross_entropy,4,Adam,COMPLETE
