,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6770207903742991,2024-01-25 14:31:31.062691,2024-01-25 14:52:08.171430,0 days 00:20:37.108739,4,0.4,4.0,bert-base-uncased,,cnn,,0.002271653072812881,cross_entropy,11,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-25 14:52:08.199056,2024-01-25 15:01:17.341844,0 days 00:09:09.142788,4,0.2,,,roberta-base,mlp,,0.0017201982413584179,cross_entropy,13,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-25 15:01:17.363898,2024-01-25 15:05:46.188699,0 days 00:04:28.824801,8,0.4,,,bert-base-uncased,mlp,,0.003762442069761878,cross_entropy,11,AdamW,COMPLETE
3,3,0.6503871486369942,2024-01-25 15:05:46.209749,2024-01-25 15:14:48.826455,0 days 00:09:02.616706,4,0.4,2.0,vinai/bertweet-base,,cnn,2.0,0.000500070651546121,focal,2,RMSprop,COMPLETE
4,4,0.6616597145834513,2024-01-25 15:14:48.847754,2024-01-25 15:31:46.046405,0 days 00:16:57.198651,8,0.30000000000000004,3.0,roberta-base,,cnn,5.0,0.009063770196060786,focal,5,SGD,COMPLETE
5,5,0.24328722538649308,2024-01-25 15:31:46.075430,2024-01-25 15:34:12.699075,0 days 00:02:26.623645,8,0.4,4.0,bert-base-uncased,,cnn,,0.004635369135886789,cross_entropy,15,Adam,PRUNED
6,6,0.24328722538649308,2024-01-25 15:34:12.722966,2024-01-25 15:36:36.714843,0 days 00:02:23.991877,8,0.4,,,vinai/bertweet-base,mlp,2.0,0.007194443644181688,focal,9,AdamW,PRUNED
7,7,0.559649647887324,2024-01-25 15:36:36.746093,2024-01-25 15:43:44.003236,0 days 00:07:07.257143,8,0.5,3.0,bert-base-uncased,,cnn,3.0,0.0012723577038418223,focal,3,Adam,COMPLETE
8,8,0.24328722538649308,2024-01-25 15:43:44.024251,2024-01-25 15:45:59.262855,0 days 00:02:15.238604,8,0.30000000000000004,1.0,roberta-base,,cnn,5.0,0.006929643024203959,focal,10,RMSprop,PRUNED
9,9,0.24328722538649308,2024-01-25 15:45:59.335227,2024-01-25 15:49:01.602013,0 days 00:03:02.266786,4,0.4,5.0,bert-base-uncased,,cnn,,0.0035318652525605206,cross_entropy,7,RMSprop,PRUNED
10,10,0.24328722538649308,2024-01-25 15:49:01.680069,2024-01-25 15:51:47.707069,0 days 00:02:46.027000,4,0.1,,,xlm-roberta-base,mlp,,0.0024260914770462354,cross_entropy,13,SGD,PRUNED
