,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-24 13:54:46.803140,2024-01-24 14:00:19.680514,0 days 00:05:32.877374,4,0.5,,,vinai/bertweet-base,mlp,4.0,0.007281403422200966,focal,10,RMSprop,COMPLETE
1,1,0.681838000096817,2024-01-24 14:00:19.706767,2024-01-24 14:15:56.593898,0 days 00:15:36.887131,8,0.5,,,bert-base-uncased,mlp,1.0,0.006425847641200117,focal,13,SGD,COMPLETE
2,2,0.6988551753690427,2024-01-24 14:15:56.616569,2024-01-24 14:34:53.332168,0 days 00:18:56.715599,4,0.30000000000000004,,,vinai/bertweet-base,mlp,2.0,0.005136809208067151,focal,13,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-24 14:34:53.355179,2024-01-24 14:41:52.957811,0 days 00:06:59.602632,4,0.4,,,xlm-roberta-base,mlp,,0.003938154581875485,cross_entropy,14,RMSprop,COMPLETE
4,4,0.24328722538649308,2024-01-24 14:41:52.988169,2024-01-24 14:48:14.650324,0 days 00:06:21.662155,4,0.4,2.0,bert-base-uncased,,cnn,,0.0023667263862043766,cross_entropy,6,AdamW,COMPLETE
5,5,0.24328722538649308,2024-01-24 14:48:14.671817,2024-01-24 14:52:10.548167,0 days 00:03:55.876350,8,0.4,,,roberta-base,mlp,2.0,0.009537568464226773,focal,6,SGD,COMPLETE
6,6,0.7126767279252256,2024-01-24 14:52:10.590237,2024-01-24 15:11:36.572384,0 days 00:19:25.982147,4,0.4,1.0,bert-base-uncased,,cnn,,0.006718465992467824,cross_entropy,13,SGD,COMPLETE
7,7,0.24328722538649308,2024-01-24 15:11:36.593907,2024-01-24 15:17:47.362099,0 days 00:06:10.768192,8,0.4,1.0,xlm-roberta-base,,cnn,4.0,0.0031411844372360507,focal,6,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-24 15:17:47.384434,2024-01-24 15:22:20.471391,0 days 00:04:33.086957,8,0.1,,,bert-base-uncased,mlp,2.0,0.0038194266767561623,focal,15,AdamW,COMPLETE
9,9,0.6838993146007931,2024-01-24 15:22:20.491963,2024-01-24 15:34:18.019566,0 days 00:11:57.527603,4,0.1,,,vinai/bertweet-base,mlp,,0.0057960768051828855,cross_entropy,8,SGD,PRUNED
10,10,0.24328722538649308,2024-01-24 15:34:18.089904,2024-01-24 15:41:07.731068,0 days 00:06:49.641164,4,0.2,5.0,vinai/bertweet-base,,cnn,,0.009007494908035235,cross_entropy,2,Adam,COMPLETE
11,11,0.6317656300956198,2024-01-24 15:41:07.769541,2024-01-24 15:48:41.668089,0 days 00:07:33.898548,4,0.30000000000000004,4.0,bert-base-uncased,,cnn,,0.0004343131706240821,cross_entropy,12,SGD,PRUNED
12,12,0.6628216278490925,2024-01-24 15:48:41.780920,2024-01-24 16:01:02.353558,0 days 00:12:20.572638,4,0.30000000000000004,1.0,roberta-base,,cnn,5.0,0.007536721642953798,focal,11,SGD,PRUNED
13,13,0.24328722538649308,2024-01-24 16:01:02.372507,2024-01-24 16:07:12.969940,0 days 00:06:10.597433,4,0.2,3.0,bert-base-uncased,,cnn,,0.005051225670895646,cross_entropy,15,Adam,COMPLETE
14,14,0.24328722538649308,2024-01-24 16:07:12.996573,2024-01-24 16:15:12.148586,0 days 00:07:59.152013,4,0.2,,,microsoft/deberta-base,mlp,1.0,0.007953028209948101,focal,9,SGD,COMPLETE
15,15,0.6965648375116013,2024-01-24 16:15:12.170515,2024-01-24 16:32:29.208582,0 days 00:17:17.038067,4,0.30000000000000004,2.0,roberta-base,,cnn,,0.005331138511607625,cross_entropy,12,SGD,PRUNED
16,16,0.6070466129333153,2024-01-24 16:32:29.272785,2024-01-24 16:40:26.181387,0 days 00:07:56.908602,4,0.5,3.0,vinai/bertweet-base,,cnn,,0.0014422619037299193,cross_entropy,13,SGD,PRUNED
17,17,0.24328722538649308,2024-01-24 16:40:26.258322,2024-01-24 16:46:47.301783,0 days 00:06:21.043461,4,0.4,,,vinai/bertweet-base,mlp,3.0,0.0063766455561122615,focal,8,Adam,COMPLETE
18,18,0.6549886184517835,2024-01-24 16:46:47.322755,2024-01-24 16:52:44.337661,0 days 00:05:57.014906,8,0.30000000000000004,,,microsoft/deberta-base,mlp,2.0,0.004159101300625516,focal,2,RMSprop,COMPLETE
19,19,0.6886103075109826,2024-01-24 16:52:44.359133,2024-01-24 17:06:35.938180,0 days 00:13:51.579047,4,0.2,1.0,xlm-roberta-base,,cnn,,0.00842891382419769,cross_entropy,10,SGD,PRUNED
20,20,0.6784741326124207,2024-01-24 17:06:36.279301,2024-01-24 17:18:52.879084,0 days 00:12:16.599783,4,0.4,2.0,bert-base-uncased,,cnn,3.0,0.006758041126720441,focal,13,SGD,PRUNED
21,21,0.5342484178998953,2024-01-24 17:18:52.902680,2024-01-24 17:24:44.622151,0 days 00:05:51.719471,8,0.5,,,bert-base-uncased,mlp,1.0,0.00618485534353092,focal,13,SGD,PRUNED
22,22,0.5536881383821619,2024-01-24 17:24:44.662929,2024-01-24 17:30:36.062675,0 days 00:05:51.399746,8,0.4,,,bert-base-uncased,mlp,1.0,0.0050443258051988005,focal,14,SGD,PRUNED
23,23,0.24328722538649308,2024-01-24 17:30:36.125487,2024-01-24 17:34:32.141963,0 days 00:03:56.016476,8,0.5,,,roberta-base,mlp,2.0,0.006620145067161718,focal,11,SGD,COMPLETE
24,24,0.24328722538649308,2024-01-24 17:34:32.164101,2024-01-24 17:38:49.584742,0 days 00:04:17.420641,8,0.5,,,xlm-roberta-base,mlp,1.0,0.0044104244463019585,focal,14,SGD,COMPLETE
