,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-23 09:52:20.929014,2024-01-23 09:59:25.316615,0 days 00:07:04.387601,4,0.5,5.0,roberta-base,,cnn,,0.0096415013458034,cross_entropy,5,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-23 09:59:25.340254,2024-01-23 10:05:18.012206,0 days 00:05:52.671952,4,0.30000000000000004,,,bert-base-uncased,mlp,,0.009451700004991275,cross_entropy,11,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-23 10:05:18.033652,2024-01-23 10:11:09.511986,0 days 00:05:51.478334,4,0.30000000000000004,,,bert-base-uncased,mlp,4.0,0.004960355438719764,focal,4,Adam,COMPLETE
3,3,0.24328722538649308,2024-01-23 10:11:09.537832,2024-01-23 10:16:18.943112,0 days 00:05:09.405280,4,0.2,,,bert-base-uncased,mlp,,0.008444467924957396,cross_entropy,6,RMSprop,COMPLETE
4,4,0.24328722538649308,2024-01-23 10:16:18.964605,2024-01-23 10:23:26.784745,0 days 00:07:07.820140,4,0.30000000000000004,,,xlm-roberta-base,mlp,1.0,0.004778433240827858,focal,13,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-23 10:23:26.808039,2024-01-23 10:28:03.611940,0 days 00:04:36.803901,8,0.2,4.0,bert-base-uncased,,cnn,5.0,0.0046546263738644665,focal,13,RMSprop,COMPLETE
6,6,0.1644144144144144,2024-01-23 10:28:03.633287,2024-01-23 10:30:04.346845,0 days 00:02:00.713558,8,0.1,,,vinai/bertweet-base,mlp,2.0,0.003127630089511857,focal,2,SGD,PRUNED
7,7,0.6864439101136003,2024-01-23 10:30:04.452307,2024-01-23 10:48:30.186053,0 days 00:18:25.733746,8,0.2,1.0,bert-base-uncased,,cnn,2.0,0.0007340665720534356,focal,2,Adam,COMPLETE
8,8,0.24328722538649308,2024-01-23 10:48:30.247484,2024-01-23 10:53:36.470476,0 days 00:05:06.222992,8,0.1,4.0,vinai/bertweet-base,,cnn,5.0,0.007974293040098866,focal,7,Adam,COMPLETE
9,9,0.6909401077630294,2024-01-23 10:53:36.492705,2024-01-23 11:17:48.074902,0 days 00:24:11.582197,4,0.2,4.0,xlm-roberta-base,,cnn,4.0,0.008243892286372007,focal,10,SGD,COMPLETE
