,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6533984882494198,2024-01-24 02:34:00.518753,2024-01-24 02:39:12.076244,0 days 00:05:11.557491,8,0.30000000000000004,,,xlm-roberta-base,mlp,2.0,0.0003289883229665738,focal,9,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-24 02:39:12.099813,2024-01-24 02:45:11.442850,0 days 00:05:59.343037,4,0.4,1.0,bert-base-uncased,,cnn,,0.009159576039838255,cross_entropy,13,Adam,COMPLETE
2,2,0.24328722538649308,2024-01-24 02:45:11.470569,2024-01-24 02:51:31.784548,0 days 00:06:20.313979,8,0.4,3.0,xlm-roberta-base,,cnn,,0.008888076456179263,cross_entropy,14,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-24 02:51:31.817059,2024-01-24 03:00:54.042827,0 days 00:09:22.225768,4,0.1,5.0,xlm-roberta-base,,cnn,4.0,0.0040946089623357385,focal,2,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-24 03:00:54.073904,2024-01-24 03:06:59.370396,0 days 00:06:05.296492,4,0.1,,,roberta-base,mlp,,0.006787343812218672,cross_entropy,14,AdamW,COMPLETE
5,5,0.16902236303384,2024-01-24 03:06:59.391340,2024-01-24 03:09:58.644019,0 days 00:02:59.252679,8,0.2,,,xlm-roberta-base,mlp,,0.009865572137288442,cross_entropy,5,Adam,PRUNED
6,6,0.24328722538649308,2024-01-24 03:09:58.968439,2024-01-24 03:15:37.666328,0 days 00:05:38.697889,8,0.2,4.0,xlm-roberta-base,,cnn,3.0,0.008261334895419505,focal,7,RMSprop,COMPLETE
7,7,0.24328722538649308,2024-01-24 03:15:37.690430,2024-01-24 03:19:29.585651,0 days 00:03:51.895221,8,0.30000000000000004,,,roberta-base,mlp,5.0,0.007147008956371409,focal,9,SGD,COMPLETE
8,8,0.24328722538649308,2024-01-24 03:19:29.607756,2024-01-24 03:23:25.545077,0 days 00:03:55.937321,8,0.1,,,vinai/bertweet-base,mlp,2.0,0.00961028410552746,focal,2,SGD,COMPLETE
9,9,0.1644144144144144,2024-01-24 03:23:25.592951,2024-01-24 03:26:39.582962,0 days 00:03:13.990011,4,0.30000000000000004,,,vinai/bertweet-base,mlp,,0.000493441198184122,cross_entropy,11,Adam,PRUNED
10,10,0.6969984023315247,2024-01-24 03:26:39.634095,2024-01-24 03:47:34.428530,0 days 00:20:54.794435,8,0.5,,,xlm-roberta-base,mlp,1.0,4.77120188521174e-05,focal,10,RMSprop,COMPLETE
11,11,0.24328722538649308,2024-01-24 03:47:34.460324,2024-01-24 03:52:45.596967,0 days 00:05:11.136643,8,0.5,,,xlm-roberta-base,mlp,1.0,0.00041237312223572003,focal,10,RMSprop,COMPLETE
12,12,0.24328722538649308,2024-01-24 03:52:45.635668,2024-01-24 03:57:57.880864,0 days 00:05:12.245196,8,0.5,,,xlm-roberta-base,mlp,1.0,0.002500701167004643,focal,7,RMSprop,COMPLETE
13,13,0.24328722538649308,2024-01-24 03:57:57.919610,2024-01-24 04:02:10.315359,0 days 00:04:12.395749,8,0.4,,,bert-base-uncased,mlp,2.0,0.002141038282394012,focal,12,RMSprop,COMPLETE
14,14,0.24328722538649308,2024-01-24 04:02:10.336333,2024-01-24 04:08:04.906202,0 days 00:05:54.569869,8,0.5,,,microsoft/deberta-base,mlp,2.0,0.001988367120904428,focal,7,RMSprop,COMPLETE
15,15,0.24328722538649308,2024-01-24 04:08:04.927781,2024-01-24 04:13:18.034018,0 days 00:05:13.106237,8,0.2,,,xlm-roberta-base,mlp,1.0,0.004992516871925603,focal,9,RMSprop,COMPLETE
16,16,0.24328722538649308,2024-01-24 04:13:18.057764,2024-01-24 04:18:31.373190,0 days 00:05:13.315426,8,0.4,,,xlm-roberta-base,mlp,3.0,0.0032927366297825205,focal,5,RMSprop,COMPLETE
17,17,0.24328722538649308,2024-01-24 04:18:31.395659,2024-01-24 04:24:25.006434,0 days 00:05:53.610775,8,0.30000000000000004,,,microsoft/deberta-base,mlp,2.0,0.0010346396778848001,focal,11,RMSprop,COMPLETE
18,18,0.1652193030579977,2024-01-24 04:24:25.046449,2024-01-24 04:26:55.484659,0 days 00:02:30.438210,4,0.5,1.0,vinai/bertweet-base,,cnn,1.0,2.531888001605547e-05,focal,8,SGD,PRUNED
19,19,0.5144743150053471,2024-01-24 04:26:55.571943,2024-01-24 04:35:55.559430,0 days 00:08:59.987487,8,0.4,,,bert-base-uncased,mlp,2.0,0.0013785026077159125,focal,5,AdamW,PRUNED
