,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.7035116304400807,2024-01-24 04:36:00.077673,2024-01-24 04:54:06.113996,0 days 00:18:06.036323,4,0.4,,,bert-base-uncased,mlp,,0.007238380246268567,cross_entropy,14,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-24 04:54:06.150466,2024-01-24 04:58:58.005726,0 days 00:04:51.855260,8,0.4,3.0,bert-base-uncased,,cnn,2.0,0.006897210790989705,focal,8,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-24 04:58:58.034263,2024-01-24 05:03:40.439993,0 days 00:04:42.405730,8,0.2,,,roberta-base,mlp,2.0,0.004339319177011267,focal,2,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-24 05:03:40.462157,2024-01-24 05:10:29.667437,0 days 00:06:49.205280,8,0.4,,,roberta-base,mlp,,0.009881872954809013,cross_entropy,12,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-24 05:10:29.688594,2024-01-24 05:17:36.217307,0 days 00:07:06.528713,4,0.2,,,microsoft/deberta-base,mlp,,0.001891252506623971,cross_entropy,5,SGD,COMPLETE
5,5,0.24328722538649308,2024-01-24 05:17:36.238750,2024-01-24 05:21:28.335108,0 days 00:03:52.096358,8,0.5,,,vinai/bertweet-base,mlp,,0.005626098625060627,cross_entropy,6,SGD,COMPLETE
6,6,0.1644144144144144,2024-01-24 05:21:28.357340,2024-01-24 05:24:30.857368,0 days 00:03:02.500028,4,0.4,4.0,xlm-roberta-base,,cnn,,0.0007327051627195643,cross_entropy,3,SGD,PRUNED
7,7,0.24328722538649308,2024-01-24 05:24:31.197852,2024-01-24 05:30:23.873500,0 days 00:05:52.675648,8,0.5,,,xlm-roberta-base,mlp,3.0,0.00875956948561315,focal,10,Adam,COMPLETE
8,8,0.1644144144144144,2024-01-24 05:30:23.896799,2024-01-24 05:33:57.866871,0 days 00:03:33.970072,4,0.5,5.0,vinai/bertweet-base,,cnn,1.0,0.007058851636030348,focal,9,Adam,PRUNED
9,9,0.5431064492225434,2024-01-24 05:33:57.965412,2024-01-24 05:40:13.650582,0 days 00:06:15.685170,4,0.1,4.0,roberta-base,,cnn,5.0,0.00017569010101730695,focal,10,RMSprop,COMPLETE
10,10,0.1644144144144144,2024-01-24 05:40:13.688329,2024-01-24 05:42:51.876343,0 days 00:02:38.188014,4,0.30000000000000004,,,bert-base-uncased,mlp,,0.0032197795381188428,cross_entropy,15,RMSprop,PRUNED
11,11,0.24328722538649308,2024-01-24 05:42:51.918216,2024-01-24 05:48:21.421291,0 days 00:05:29.503075,4,0.1,1.0,roberta-base,,cnn,5.0,0.00012495344722667816,focal,15,RMSprop,COMPLETE
12,12,0.24328722538649308,2024-01-24 05:48:21.443958,2024-01-24 05:54:24.744966,0 days 00:06:03.301008,4,0.1,3.0,roberta-base,,cnn,,0.007424883494636824,cross_entropy,12,RMSprop,COMPLETE
13,13,0.6465243598600611,2024-01-24 05:54:24.766888,2024-01-24 06:05:11.562270,0 days 00:10:46.795382,4,0.30000000000000004,5.0,roberta-base,,cnn,5.0,0.0051042835010374505,focal,12,SGD,PRUNED
14,14,0.24328722538649308,2024-01-24 06:05:11.590800,2024-01-24 06:10:07.888706,0 days 00:04:56.297906,4,0.2,,,bert-base-uncased,mlp,,0.0025382574020610432,cross_entropy,14,RMSprop,COMPLETE
15,15,0.24328722538649308,2024-01-24 06:10:07.909918,2024-01-24 06:15:46.522894,0 days 00:05:38.612976,4,0.30000000000000004,1.0,vinai/bertweet-base,,cnn,4.0,0.004110149920289617,focal,11,RMSprop,COMPLETE
16,16,0.6914856065289058,2024-01-24 06:15:46.547832,2024-01-24 06:28:39.526671,0 days 00:12:52.978839,4,0.1,4.0,bert-base-uncased,,cnn,,0.005842381600106265,cross_entropy,7,SGD,PRUNED
17,17,0.24328722538649308,2024-01-24 06:28:39.630185,2024-01-24 06:34:41.512180,0 days 00:06:01.881995,4,0.4,,,bert-base-uncased,mlp,4.0,0.00828970196222398,focal,13,AdamW,COMPLETE
18,18,0.24328722538649308,2024-01-24 06:34:41.532895,2024-01-24 06:42:13.177148,0 days 00:07:31.644253,4,0.2,2.0,xlm-roberta-base,,cnn,4.0,0.001558776007221128,focal,10,RMSprop,COMPLETE
19,19,0.6902379995125559,2024-01-24 06:42:13.198226,2024-01-24 06:55:14.365011,0 days 00:13:01.166785,4,0.4,,,xlm-roberta-base,mlp,,0.009963654831744502,cross_entropy,14,SGD,PRUNED
