,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-23 08:40:09.831817,2024-01-23 08:44:44.572188,0 days 00:04:34.740371,8,0.5,2.0,vinai/bertweet-base,,cnn,,0.008125875101202521,cross_entropy,3,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-23 08:44:44.593689,2024-01-23 08:49:11.585771,0 days 00:04:26.992082,8,0.30000000000000004,,,bert-base-uncased,mlp,1.0,0.008761097047061505,focal,12,Adam,COMPLETE
2,2,0.24328722538649308,2024-01-23 08:49:11.606623,2024-01-23 08:55:15.620109,0 days 00:06:04.013486,8,0.5,,,xlm-roberta-base,mlp,4.0,0.005542228592680893,focal,12,AdamW,COMPLETE
3,3,0.7026493178353345,2024-01-23 08:55:15.643850,2024-01-23 09:19:59.095338,0 days 00:24:43.451488,4,0.2,5.0,xlm-roberta-base,,cnn,,0.004981897852484558,cross_entropy,14,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-23 09:19:59.142085,2024-01-23 09:26:24.494696,0 days 00:06:25.352611,4,0.5,1.0,vinai/bertweet-base,,cnn,3.0,0.004305208792566061,focal,13,Adam,COMPLETE
5,5,0.24328722538649308,2024-01-23 09:26:24.520841,2024-01-23 09:32:37.184062,0 days 00:06:12.663221,4,0.5,,,vinai/bertweet-base,mlp,5.0,0.004287128834934682,focal,14,Adam,COMPLETE
6,6,0.23328154791328296,2024-01-23 09:32:37.210705,2024-01-23 09:35:33.598704,0 days 00:02:56.387999,4,0.1,3.0,xlm-roberta-base,,cnn,,0.001131751697697022,cross_entropy,3,SGD,PRUNED
7,7,0.1644144144144144,2024-01-23 09:35:33.928901,2024-01-23 09:37:45.690229,0 days 00:02:11.761328,8,0.2,,,xlm-roberta-base,mlp,5.0,4.498088898725176e-05,focal,7,SGD,PRUNED
8,8,0.6080688041203048,2024-01-23 09:37:45.967958,2024-01-23 09:45:36.086599,0 days 00:07:50.118641,4,0.2,,,xlm-roberta-base,mlp,,0.0034924655298709264,cross_entropy,15,SGD,PRUNED
9,9,0.5512655844055318,2024-01-23 09:45:36.434914,2024-01-23 09:52:16.507429,0 days 00:06:40.072515,8,0.4,5.0,roberta-base,,cnn,4.0,0.008836746011250722,focal,15,SGD,PRUNED
