,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 13:16:20.030974,2024-01-22 13:22:01.592781,0 days 00:05:41.561807,4,0.5,1.0,vinai/bertweet-base,,cnn,1.0,0.008578450015781355,focal,9,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-22 13:22:01.615707,2024-01-22 13:26:32.046846,0 days 00:04:30.431139,8,0.4,,,bert-base-uncased,mlp,1.0,0.004052031728991532,focal,12,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-22 13:26:32.078522,2024-01-22 13:31:38.743565,0 days 00:05:06.665043,4,0.2,,,bert-base-uncased,mlp,,0.0026646589813965104,cross_entropy,5,RMSprop,COMPLETE
3,3,0.7035820244811699,2024-01-22 13:31:38.771872,2024-01-22 13:53:10.735544,0 days 00:21:31.963672,4,0.2,4.0,roberta-base,,cnn,4.0,0.009184109844739052,focal,8,SGD,COMPLETE
4,4,0.702482398230075,2024-01-22 13:53:10.778055,2024-01-22 14:13:52.537623,0 days 00:20:41.759568,4,0.2,3.0,roberta-base,,cnn,,0.0021962445737877447,cross_entropy,11,SGD,COMPLETE
5,5,0.24328722538649308,2024-01-22 14:13:52.559609,2024-01-22 14:20:18.893886,0 days 00:06:26.334277,4,0.30000000000000004,2.0,bert-base-uncased,,cnn,1.0,0.00940111533923104,focal,8,AdamW,COMPLETE
6,6,0.688848862744794,2024-01-22 14:20:18.921662,2024-01-22 14:31:01.489574,0 days 00:10:42.567912,4,0.2,,,xlm-roberta-base,mlp,,0.008212275370763683,cross_entropy,11,SGD,PRUNED
7,7,0.24328722538649308,2024-01-22 14:31:01.843879,2024-01-22 14:39:43.093808,0 days 00:08:41.249929,4,0.2,,,xlm-roberta-base,mlp,,0.0035213164178916913,cross_entropy,9,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-22 14:39:43.116400,2024-01-22 14:44:42.481337,0 days 00:04:59.364937,8,0.4,4.0,roberta-base,,cnn,,0.0021859724465421075,cross_entropy,8,Adam,COMPLETE
9,9,0.6054434845459614,2024-01-22 14:44:42.503787,2024-01-22 14:50:32.048472,0 days 00:05:49.544685,8,0.4,,,bert-base-uncased,mlp,2.0,0.009980428632551127,focal,8,SGD,PRUNED
