,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 11:48:06.434111,2024-01-22 11:52:23.687214,0 days 00:04:17.253103,8,0.30000000000000004,,,vinai/bertweet-base,mlp,,0.008329774675053586,cross_entropy,7,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-22 11:52:23.729879,2024-01-22 11:58:37.535297,0 days 00:06:13.805418,8,0.2,,,microsoft/deberta-base,mlp,,0.0058235928673176915,cross_entropy,4,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-22 11:58:37.556537,2024-01-22 12:03:49.549997,0 days 00:05:11.993460,8,0.5,,,xlm-roberta-base,mlp,1.0,0.004348852550848383,focal,10,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-22 12:03:49.573243,2024-01-22 12:08:14.540237,0 days 00:04:24.966994,8,0.2,1.0,roberta-base,,cnn,3.0,0.0009921969709559579,focal,13,RMSprop,COMPLETE
4,4,0.6749202802892249,2024-01-22 12:08:14.578468,2024-01-22 12:24:12.053507,0 days 00:15:57.475039,4,0.5,,,vinai/bertweet-base,mlp,,6.520480094631552e-05,cross_entropy,12,AdamW,COMPLETE
5,5,0.24328722538649308,2024-01-22 12:24:12.094413,2024-01-22 12:28:37.405949,0 days 00:04:25.311536,8,0.1,,,bert-base-uncased,mlp,2.0,0.00445817796742967,focal,12,Adam,COMPLETE
6,6,0.24328722538649308,2024-01-22 12:28:37.426771,2024-01-22 12:33:14.979346,0 days 00:04:37.552575,8,0.2,,,roberta-base,mlp,,0.006134458241143959,cross_entropy,8,AdamW,COMPLETE
7,7,0.6317319720898147,2024-01-22 12:33:14.999240,2024-01-22 12:49:53.459193,0 days 00:16:38.459953,8,0.5,3.0,bert-base-uncased,,cnn,2.0,0.00196307501459884,focal,14,SGD,COMPLETE
8,8,0.6838896869546263,2024-01-22 12:49:53.533154,2024-01-22 13:10:12.127947,0 days 00:20:18.594793,4,0.1,2.0,bert-base-uncased,,cnn,4.0,0.007844953126723635,focal,4,SGD,COMPLETE
9,9,0.24328722538649308,2024-01-22 13:10:12.168448,2024-01-22 13:16:15.624426,0 days 00:06:03.455978,4,0.5,,,roberta-base,mlp,,0.0024740959573017456,cross_entropy,2,Adam,COMPLETE
