,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6855387865333252,2024-01-22 20:37:52.890460,2024-01-22 20:55:26.126959,0 days 00:17:33.236499,8,0.4,4.0,roberta-base,,cnn,2.0,0.00811968607352867,focal,11,SGD,COMPLETE
1,1,0.6621674593150592,2024-01-22 20:55:26.185068,2024-01-22 21:11:04.130868,0 days 00:15:37.945800,8,0.1,,,vinai/bertweet-base,mlp,,0.004446897839848283,cross_entropy,8,SGD,COMPLETE
2,2,0.24328722538649308,2024-01-22 21:11:04.186884,2024-01-22 21:15:33.397105,0 days 00:04:29.210221,8,0.2,,,bert-base-uncased,mlp,4.0,0.008280143700025062,focal,10,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-22 21:15:33.422942,2024-01-22 21:21:18.900826,0 days 00:05:45.477884,8,0.2,,,microsoft/deberta-base,mlp,,0.008070218377240366,cross_entropy,14,RMSprop,COMPLETE
4,4,0.6654100735531173,2024-01-22 21:21:18.940923,2024-01-22 21:26:55.475842,0 days 00:05:36.534919,4,0.5,,,roberta-base,mlp,,7.584434798637898e-05,cross_entropy,14,RMSprop,COMPLETE
5,5,0.1644144144144144,2024-01-22 21:26:55.498721,2024-01-22 21:29:05.390747,0 days 00:02:09.892026,8,0.5,,,xlm-roberta-base,mlp,,0.003094451762790471,cross_entropy,13,SGD,PRUNED
6,6,0.43150440585992955,2024-01-22 21:29:05.604442,2024-01-22 21:34:35.550740,0 days 00:05:29.946298,4,0.2,4.0,vinai/bertweet-base,,cnn,2.0,0.00020260191660667376,focal,12,SGD,COMPLETE
7,7,0.24328722538649308,2024-01-22 21:34:35.572457,2024-01-22 21:38:34.324383,0 days 00:03:58.751926,4,0.1,4.0,xlm-roberta-base,,cnn,,0.0014861433613222006,cross_entropy,14,RMSprop,PRUNED
8,8,0.24328722538649308,2024-01-22 21:38:34.624493,2024-01-22 21:40:57.669180,0 days 00:02:23.044687,8,0.30000000000000004,3.0,bert-base-uncased,,cnn,,0.003523335410120643,cross_entropy,10,Adam,PRUNED
9,9,0.24328722538649308,2024-01-22 21:40:57.763801,2024-01-22 21:43:26.607122,0 days 00:02:28.843321,4,0.5,,,roberta-base,mlp,2.0,0.004978372148802054,focal,4,SGD,PRUNED
