,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 05:23:38.632113,2024-01-22 05:28:25.748881,0 days 00:04:47.116768,8,0.4,2.0,roberta-base,,cnn,,0.005356313180291297,cross_entropy,5,Adam,COMPLETE
1,1,0.24328722538649308,2024-01-22 05:28:25.775606,2024-01-22 05:33:18.567747,0 days 00:04:52.792141,8,0.2,2.0,roberta-base,,cnn,,0.0016545411451424673,cross_entropy,9,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-22 05:33:18.594548,2024-01-22 05:38:54.993406,0 days 00:05:36.398858,4,0.5,,,vinai/bertweet-base,mlp,5.0,0.007892600266173527,focal,5,RMSprop,COMPLETE
3,3,0.7070902887994341,2024-01-22 05:38:55.014182,2024-01-22 05:58:45.838076,0 days 00:19:50.823894,4,0.30000000000000004,2.0,vinai/bertweet-base,,cnn,,0.008675762170710768,cross_entropy,8,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-22 05:58:45.879800,2024-01-22 06:03:16.068425,0 days 00:04:30.188625,8,0.30000000000000004,3.0,bert-base-uncased,,cnn,5.0,0.005129758535577606,focal,11,RMSprop,COMPLETE
5,5,0.05950991831971995,2024-01-22 06:03:16.089449,2024-01-22 06:05:55.566420,0 days 00:02:39.476971,8,0.2,,,xlm-roberta-base,mlp,,0.007259415693340519,cross_entropy,11,RMSprop,PRUNED
6,6,0.1644144144144144,2024-01-22 06:05:55.901917,2024-01-22 06:08:23.794335,0 days 00:02:27.892418,4,0.30000000000000004,,,bert-base-uncased,mlp,5.0,0.00540647918158739,focal,7,RMSprop,PRUNED
7,7,0.24328722538649308,2024-01-22 06:08:23.908476,2024-01-22 06:14:49.948445,0 days 00:06:26.039969,8,0.1,5.0,xlm-roberta-base,,cnn,2.0,0.004171871590476617,focal,9,Adam,COMPLETE
8,8,0.6793581160635741,2024-01-22 06:14:49.969569,2024-01-22 06:34:18.339820,0 days 00:19:28.370251,4,0.5,5.0,xlm-roberta-base,,cnn,,0.00023576332314022527,cross_entropy,4,AdamW,COMPLETE
9,9,0.6259239676664905,2024-01-22 06:34:18.362449,2024-01-22 06:40:01.142154,0 days 00:05:42.779705,8,0.30000000000000004,,,bert-base-uncased,mlp,,0.0076572750930511526,cross_entropy,11,SGD,PRUNED
