,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 16:58:37.782322,2024-01-22 17:03:48.578247,0 days 00:05:10.795925,4,0.4,,,bert-base-uncased,mlp,3.0,0.0015198947990246606,focal,6,RMSprop,COMPLETE
1,1,0.6584097577730327,2024-01-22 17:03:48.601318,2024-01-22 17:08:12.601396,0 days 00:04:24.000078,8,0.5,,,bert-base-uncased,mlp,,0.002582489978780919,cross_entropy,3,Adam,COMPLETE
2,2,0.24328722538649308,2024-01-22 17:08:12.622990,2024-01-22 17:14:36.891604,0 days 00:06:24.268614,4,0.30000000000000004,5.0,roberta-base,,cnn,1.0,0.00477376315322194,focal,13,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-22 17:14:36.918439,2024-01-22 17:19:45.163802,0 days 00:05:08.245363,8,0.2,4.0,roberta-base,,cnn,5.0,0.0022646842659405737,focal,10,AdamW,COMPLETE
4,4,0.24328722538649308,2024-01-22 17:19:45.196984,2024-01-22 17:26:00.643599,0 days 00:06:15.446615,4,0.30000000000000004,4.0,vinai/bertweet-base,,cnn,2.0,0.009302770901290426,focal,15,RMSprop,COMPLETE
5,5,0.6949906823220643,2024-01-22 17:26:00.664906,2024-01-22 17:50:23.523440,0 days 00:24:22.858534,4,0.1,4.0,xlm-roberta-base,,cnn,1.0,0.008881042760531527,focal,10,SGD,COMPLETE
6,6,0.24328722538649308,2024-01-22 17:50:23.554752,2024-01-22 17:54:59.703601,0 days 00:04:36.148849,4,0.2,,,vinai/bertweet-base,mlp,4.0,0.006609110364224765,focal,5,SGD,COMPLETE
7,7,0.1644144144144144,2024-01-22 17:54:59.727451,2024-01-22 17:58:00.308660,0 days 00:03:00.581209,8,0.5,,,xlm-roberta-base,mlp,,0.006880118768167173,cross_entropy,14,Adam,PRUNED
8,8,0.5136819951831094,2024-01-22 17:58:00.568679,2024-01-22 18:02:49.047664,0 days 00:04:48.478985,8,0.1,1.0,vinai/bertweet-base,,cnn,3.0,0.00768510347818468,focal,15,Adam,COMPLETE
9,9,0.6419025445727508,2024-01-22 18:02:49.070365,2024-01-22 18:10:33.211516,0 days 00:07:44.141151,4,0.2,2.0,vinai/bertweet-base,,cnn,,0.008229069087068257,cross_entropy,7,SGD,PRUNED
