,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 18:10:37.197951,2024-01-22 18:15:49.832101,0 days 00:05:12.634150,8,0.2,,,xlm-roberta-base,mlp,3.0,0.006116908080710135,focal,5,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-22 18:15:49.855784,2024-01-22 18:21:41.281595,0 days 00:05:51.425811,8,0.2,,,microsoft/deberta-base,mlp,,0.005428878127007588,cross_entropy,2,RMSprop,COMPLETE
2,2,0.3163228042573942,2024-01-22 18:21:41.314925,2024-01-22 18:26:35.518522,0 days 00:04:54.203597,4,0.5,1.0,vinai/bertweet-base,,cnn,,0.006348415442691371,cross_entropy,2,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-22 18:26:35.557408,2024-01-22 18:32:30.865638,0 days 00:05:55.308230,8,0.30000000000000004,,,vinai/bertweet-base,mlp,5.0,0.0025655893769713917,focal,5,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-22 18:32:30.901017,2024-01-22 18:42:14.648228,0 days 00:09:43.747211,4,0.2,5.0,xlm-roberta-base,,cnn,1.0,0.0010935214575136943,focal,9,AdamW,COMPLETE
5,5,0.24328722538649308,2024-01-22 18:42:14.671542,2024-01-22 18:48:20.975360,0 days 00:06:06.303818,4,0.2,,,roberta-base,mlp,5.0,0.009559983404541107,focal,11,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-22 18:48:21.018083,2024-01-22 18:53:34.500446,0 days 00:05:13.482363,8,0.1,,,xlm-roberta-base,mlp,2.0,0.009030844011823368,focal,10,RMSprop,COMPLETE
7,7,0.24328722538649308,2024-01-22 18:53:34.522405,2024-01-22 19:04:04.281316,0 days 00:10:29.758911,4,0.5,,,microsoft/deberta-base,mlp,1.0,0.00592481510110051,focal,4,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-22 19:04:04.322613,2024-01-22 19:08:44.841745,0 days 00:04:40.519132,4,0.5,,,vinai/bertweet-base,mlp,,0.0005907757269552831,cross_entropy,10,SGD,COMPLETE
9,9,0.24468832671957672,2024-01-22 19:08:44.863998,2024-01-22 19:12:36.552189,0 days 00:03:51.688191,8,0.30000000000000004,,,bert-base-uncased,mlp,3.0,0.0019501579468346772,focal,2,SGD,COMPLETE
