,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.5119491740787802,2024-01-22 02:00:36.084566,2024-01-22 02:05:09.977111,0 days 00:04:33.892545,8,0.4,1.0,bert-base-uncased,,cnn,,0.0027884498542219338,cross_entropy,5,Adam,COMPLETE
1,1,0.24328722538649308,2024-01-22 02:05:10.008029,2024-01-22 02:11:11.675547,0 days 00:06:01.667518,8,0.1,,,xlm-roberta-base,mlp,,0.008463239630855462,cross_entropy,12,AdamW,COMPLETE
2,2,0.6632361445557285,2024-01-22 02:11:11.696484,2024-01-22 02:20:59.762621,0 days 00:09:48.066137,8,0.5,2.0,roberta-base,,cnn,,0.0009289065395509724,cross_entropy,3,Adam,COMPLETE
3,3,0.696340229456149,2024-01-22 02:20:59.792843,2024-01-22 02:40:47.261900,0 days 00:19:47.469057,4,0.4,1.0,roberta-base,,cnn,4.0,0.006975210653715574,focal,15,SGD,COMPLETE
4,4,0.6845131338325116,2024-01-22 02:40:47.290114,2024-01-22 02:47:49.895952,0 days 00:07:02.605838,8,0.1,,,roberta-base,mlp,,0.00025588958825896577,cross_entropy,8,Adam,COMPLETE
5,5,0.1644144144144144,2024-01-22 02:47:49.923756,2024-01-22 02:50:42.148232,0 days 00:02:52.224476,4,0.1,,,vinai/bertweet-base,mlp,5.0,0.004652389330379998,focal,13,RMSprop,PRUNED
6,6,0.24328722538649308,2024-01-22 02:50:42.176959,2024-01-22 02:53:00.272195,0 days 00:02:18.095236,8,0.2,2.0,vinai/bertweet-base,,cnn,,0.0031264226487635197,cross_entropy,13,RMSprop,PRUNED
7,7,0.24328722538649308,2024-01-22 02:53:00.322888,2024-01-22 02:55:11.314447,0 days 00:02:10.991559,8,0.2,,,vinai/bertweet-base,mlp,,0.008859574928733228,cross_entropy,9,RMSprop,PRUNED
8,8,0.1644144144144144,2024-01-22 02:55:11.397919,2024-01-22 02:58:14.908043,0 days 00:03:03.510124,4,0.4,3.0,roberta-base,,cnn,,0.0008168837817525588,cross_entropy,6,RMSprop,PRUNED
9,9,0.1644144144144144,2024-01-22 02:58:14.961846,2024-01-22 03:01:14.115885,0 days 00:02:59.154039,8,0.5,,,xlm-roberta-base,mlp,,0.0031664163212825275,cross_entropy,15,Adam,PRUNED
