,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-22 06:40:05.626003,2024-01-22 06:44:16.986949,0 days 00:04:11.360946,8,0.2,,,bert-base-uncased,mlp,4.0,0.0065342434680954855,focal,2,RMSprop,COMPLETE
1,1,0.7094970000819196,2024-01-22 06:44:17.029162,2024-01-22 07:03:40.307796,0 days 00:19:23.278634,4,0.2,1.0,vinai/bertweet-base,,cnn,,0.009881216289333373,cross_entropy,14,SGD,COMPLETE
2,2,0.31327334083239594,2024-01-22 07:03:40.328988,2024-01-22 07:09:24.853002,0 days 00:05:44.524014,8,0.1,,,bert-base-uncased,mlp,4.0,0.0010376805380993852,focal,5,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-22 07:09:24.900403,2024-01-22 07:15:26.215616,0 days 00:06:01.315213,4,0.5,4.0,bert-base-uncased,,cnn,,0.009975102569740721,cross_entropy,7,RMSprop,COMPLETE
4,4,0.6941030697657973,2024-01-22 07:15:26.237503,2024-01-22 07:39:30.539724,0 days 00:24:04.302221,4,0.5,,,roberta-base,mlp,4.0,2.5314283896894893e-05,focal,2,Adam,COMPLETE
5,5,0.24328722538649308,2024-01-22 07:39:30.561484,2024-01-22 07:43:22.786158,0 days 00:03:52.224674,8,0.2,,,roberta-base,mlp,,0.0033903179589441,cross_entropy,11,SGD,COMPLETE
6,6,0.24328722538649308,2024-01-22 07:43:22.813218,2024-01-22 07:49:35.670297,0 days 00:06:12.857079,4,0.1,5.0,roberta-base,,cnn,,0.0024331271038820802,cross_entropy,8,RMSprop,COMPLETE
7,7,0.24328722538649308,2024-01-22 07:49:35.690643,2024-01-22 07:58:55.992436,0 days 00:09:20.301793,4,0.2,5.0,xlm-roberta-base,,cnn,4.0,0.0010056267335919271,focal,6,Adam,COMPLETE
8,8,0.24328722538649308,2024-01-22 07:58:56.015191,2024-01-22 08:05:44.470569,0 days 00:06:48.455378,4,0.30000000000000004,4.0,vinai/bertweet-base,,cnn,,0.008350309932857021,cross_entropy,12,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-22 08:05:44.491339,2024-01-22 08:11:57.334634,0 days 00:06:12.843295,4,0.4,,,vinai/bertweet-base,mlp,3.0,0.006690321431690436,focal,6,Adam,COMPLETE
