,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-17 13:11:08.067593,2024-01-17 13:20:58.978344,0 days 00:09:50.910751,4,0.30000000000000004,,,xlm-roberta-base,mlp,1.0,0.003115336626052478,focal,7,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-17 13:20:59.003313,2024-01-17 13:26:38.900674,0 days 00:05:39.897361,8,0.1,,,xlm-roberta-base,mlp,,0.005137123278917362,cross_entropy,15,RMSprop,COMPLETE
2,2,0.24328722538649308,2024-01-17 13:26:38.925717,2024-01-17 13:30:48.303636,0 days 00:04:09.377919,8,0.2,,,roberta-base,mlp,,0.00875672284461781,cross_entropy,2,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-17 13:30:48.328474,2024-01-17 13:36:25.074200,0 days 00:05:36.745726,4,0.2,,,bert-base-uncased,mlp,,0.0041971078679272685,cross_entropy,15,RMSprop,COMPLETE
4,4,0.6346212653886679,2024-01-17 13:36:25.098044,2024-01-17 13:43:25.643293,0 days 00:07:00.545249,8,0.4,4.0,roberta-base,,cnn,3.0,0.004677432347050516,focal,15,SGD,COMPLETE
5,5,0.5457191270357707,2024-01-17 13:43:25.667214,2024-01-17 13:48:24.062509,0 days 00:04:58.395295,4,0.2,,,bert-base-uncased,mlp,,0.0032396980334299086,cross_entropy,5,SGD,PRUNED
6,6,0.24328722538649308,2024-01-17 13:48:24.103402,2024-01-17 13:59:53.547803,0 days 00:11:29.444401,4,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.005310261830066493,cross_entropy,8,Adam,COMPLETE
7,7,0.05950991831971995,2024-01-17 13:59:53.572033,2024-01-17 14:02:26.034082,0 days 00:02:32.462049,8,0.4,,,roberta-base,mlp,,0.0032654222039326048,cross_entropy,8,AdamW,PRUNED
8,8,0.24328722538649308,2024-01-17 14:02:26.080792,2024-01-17 14:10:10.180590,0 days 00:07:44.099798,4,0.1,5.0,roberta-base,,cnn,2.0,0.005896496359757228,focal,8,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-17 14:10:10.209149,2024-01-17 14:16:36.888652,0 days 00:06:26.679503,4,0.1,1.0,roberta-base,,cnn,,0.009805291489522088,cross_entropy,12,RMSprop,COMPLETE
10,10,0.17026854789038773,2024-01-17 14:16:36.913083,2024-01-17 14:19:13.913628,0 days 00:02:37.000545,8,0.5,4.0,xlm-roberta-base,,cnn,5.0,0.0002237372608550267,focal,12,SGD,PRUNED
11,11,0.6161302659672816,2024-01-17 14:19:14.204409,2024-01-17 14:24:42.976819,0 days 00:05:28.772410,8,0.4,2.0,vinai/bertweet-base,,cnn,1.0,0.0012016631556054963,focal,5,AdamW,COMPLETE
12,12,0.670383517821275,2024-01-17 14:24:43.002813,2024-01-17 14:30:29.558589,0 days 00:05:46.555776,8,0.5,2.0,vinai/bertweet-base,,cnn,4.0,0.0005641912305264038,focal,4,AdamW,COMPLETE
13,13,0.25470814579309115,2024-01-17 14:30:29.614099,2024-01-17 14:35:04.794125,0 days 00:04:35.180026,8,0.5,3.0,vinai/bertweet-base,,cnn,4.0,0.007481485280050855,focal,2,SGD,COMPLETE
14,14,0.24328722538649308,2024-01-17 14:35:04.837355,2024-01-17 14:40:22.616140,0 days 00:05:17.778785,8,0.4,3.0,bert-base-uncased,,cnn,3.0,0.0015300493072159752,focal,12,AdamW,COMPLETE
15,15,0.508551619276538,2024-01-17 14:40:22.640815,2024-01-17 14:44:53.136124,0 days 00:04:30.495309,8,0.5,2.0,roberta-base,,cnn,4.0,0.007018515069119269,focal,5,SGD,PRUNED
16,16,0.24328722538649308,2024-01-17 14:44:53.187025,2024-01-17 14:50:43.049591,0 days 00:05:49.862566,8,0.4,5.0,vinai/bertweet-base,,cnn,3.0,0.0019673504742567815,focal,10,AdamW,COMPLETE
17,17,0.6001471630912866,2024-01-17 14:50:43.072245,2024-01-17 14:57:43.524849,0 days 00:07:00.452604,8,0.5,4.0,xlm-roberta-base,,cnn,4.0,0.0001490371187885012,focal,3,Adam,PRUNED
18,18,0.6109789319297446,2024-01-17 14:57:43.821069,2024-01-17 15:02:02.016032,0 days 00:04:18.194963,8,0.4,1.0,bert-base-uncased,,cnn,5.0,0.006795959304314513,focal,10,SGD,PRUNED
19,19,0.24328722538649308,2024-01-17 15:02:02.055182,2024-01-17 15:07:22.034807,0 days 00:05:19.979625,8,0.5,2.0,roberta-base,,cnn,2.0,0.004236022272987781,focal,6,AdamW,COMPLETE
