,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-17 00:55:49.656125,2024-01-17 01:05:07.050776,0 days 00:09:17.394651,4,0.30000000000000004,,,xlm-roberta-base,mlp,,0.004269704407117724,cross_entropy,4,Adam,COMPLETE
1,1,0.24328722538649308,2024-01-17 01:05:07.084551,2024-01-17 01:11:58.621501,0 days 00:06:51.536950,4,0.1,,,vinai/bertweet-base,mlp,,0.007333513094011249,cross_entropy,10,Adam,COMPLETE
2,2,0.24328722538649308,2024-01-17 01:11:58.663769,2024-01-17 01:18:09.305707,0 days 00:06:10.641938,4,0.30000000000000004,,,vinai/bertweet-base,mlp,5.0,0.0093934241446824,focal,14,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-17 01:18:09.335049,2024-01-17 01:28:25.528945,0 days 00:10:16.193896,4,0.1,,,microsoft/deberta-base,mlp,2.0,0.006212710466702564,focal,11,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-17 01:28:25.552620,2024-01-17 01:36:20.758628,0 days 00:07:55.206008,4,0.30000000000000004,5.0,vinai/bertweet-base,,cnn,3.0,0.002004445054146817,focal,9,AdamW,COMPLETE
5,5,0.24328722538649308,2024-01-17 01:36:20.801046,2024-01-17 01:43:45.563046,0 days 00:07:24.762000,4,0.1,4.0,bert-base-uncased,,cnn,2.0,0.00978285801655178,focal,5,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-17 01:43:45.586033,2024-01-17 01:49:37.501913,0 days 00:05:51.915880,4,0.4,,,bert-base-uncased,mlp,,0.005636682720444163,cross_entropy,12,RMSprop,COMPLETE
7,7,0.1644144144144144,2024-01-17 01:49:37.525360,2024-01-17 01:53:08.297395,0 days 00:03:30.772035,4,0.5,,,roberta-base,mlp,,0.003003746719430299,cross_entropy,6,AdamW,PRUNED
8,8,0.24328722538649308,2024-01-17 01:53:08.351844,2024-01-17 01:59:41.925229,0 days 00:06:33.573385,4,0.2,3.0,vinai/bertweet-base,,cnn,2.0,0.0028053011188361636,focal,9,RMSprop,COMPLETE
9,9,0.24328722538649308,2024-01-17 01:59:41.948357,2024-01-17 02:05:52.018780,0 days 00:06:10.070423,4,0.2,,,vinai/bertweet-base,mlp,5.0,0.004754714444669058,focal,12,RMSprop,COMPLETE
