,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6693595954038775,2024-01-17 02:05:56.254332,2024-01-17 02:14:37.513158,0 days 00:08:41.258826,4,0.2,3.0,bert-base-uncased,,cnn,,0.009089685313042628,cross_entropy,4,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-17 02:14:37.583385,2024-01-17 02:22:10.616394,0 days 00:07:33.033009,4,0.4,5.0,roberta-base,,cnn,3.0,0.007768463381464041,focal,6,Adam,COMPLETE
2,2,0.5136819951831094,2024-01-17 02:22:10.639793,2024-01-17 02:32:46.402151,0 days 00:10:35.762358,4,0.5,,,vinai/bertweet-base,mlp,,0.003169129057664145,cross_entropy,2,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-17 02:32:46.429957,2024-01-17 02:39:49.640404,0 days 00:07:03.210447,4,0.2,1.0,roberta-base,,cnn,,0.002084265349930395,cross_entropy,12,AdamW,COMPLETE
4,4,0.24328722538649308,2024-01-17 02:39:49.664690,2024-01-17 02:46:38.795094,0 days 00:06:49.130404,4,0.4,2.0,bert-base-uncased,,cnn,1.0,0.0009937858592476165,focal,12,Adam,COMPLETE
5,5,0.24328722538649308,2024-01-17 02:46:38.819414,2024-01-17 02:56:38.504973,0 days 00:09:59.685559,4,0.1,1.0,xlm-roberta-base,,cnn,,0.008959620463745903,cross_entropy,9,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-17 02:56:38.528553,2024-01-17 03:02:38.243039,0 days 00:05:59.714486,4,0.30000000000000004,,,vinai/bertweet-base,mlp,,0.0027555096434697707,cross_entropy,10,RMSprop,COMPLETE
7,7,0.24328722538649308,2024-01-17 03:02:38.267906,2024-01-17 03:09:00.925711,0 days 00:06:22.657805,4,0.2,,,bert-base-uncased,mlp,4.0,0.004470673475247483,focal,4,Adam,COMPLETE
8,8,0.5327035214660717,2024-01-17 03:09:00.975067,2024-01-17 03:13:53.593503,0 days 00:04:52.618436,4,0.5,,,bert-base-uncased,mlp,,0.008964628472185175,cross_entropy,6,SGD,PRUNED
9,9,0.24328722538649308,2024-01-17 03:13:53.637087,2024-01-17 03:21:12.046937,0 days 00:07:18.409850,4,0.2,5.0,bert-base-uncased,,cnn,,0.008414250799412916,cross_entropy,12,Adam,COMPLETE
10,10,0.575275435077124,2024-01-17 03:21:12.070186,2024-01-17 03:26:45.040745,0 days 00:05:32.970559,4,0.1,3.0,vinai/bertweet-base,,cnn,5.0,0.007106514696337159,focal,2,SGD,PRUNED
11,11,0.1644144144144144,2024-01-17 03:26:45.076197,2024-01-17 03:32:07.799409,0 days 00:05:22.723212,4,0.5,,,microsoft/deberta-base,mlp,,0.005356243645580805,cross_entropy,2,AdamW,PRUNED
12,12,0.27105237153490835,2024-01-17 03:32:07.839688,2024-01-17 03:37:27.383411,0 days 00:05:19.543723,4,0.30000000000000004,,,vinai/bertweet-base,mlp,,0.004660220995601962,cross_entropy,5,SGD,PRUNED
13,13,0.05950991831971995,2024-01-17 03:37:27.426201,2024-01-17 03:41:28.981499,0 days 00:04:01.555298,4,0.4,,,xlm-roberta-base,mlp,,0.006261525302700058,cross_entropy,15,RMSprop,PRUNED
14,14,0.5136819951831094,2024-01-17 03:41:29.271587,2024-01-17 03:48:42.479626,0 days 00:07:13.208039,4,0.2,3.0,bert-base-uncased,,cnn,,0.0035585288321415103,cross_entropy,3,AdamW,COMPLETE
15,15,0.5086018902499879,2024-01-17 03:48:42.503340,2024-01-17 03:54:00.749694,0 days 00:05:18.246354,4,0.5,,,roberta-base,mlp,,0.009958345985534233,cross_entropy,6,SGD,PRUNED
16,16,0.3350686597595578,2024-01-17 03:54:00.787894,2024-01-17 04:00:36.141062,0 days 00:06:35.353168,4,0.30000000000000004,4.0,xlm-roberta-base,,cnn,,0.0009661134553753687,cross_entropy,4,SGD,PRUNED
17,17,0.24328722538649308,2024-01-17 04:00:36.429623,2024-01-17 04:07:38.108869,0 days 00:07:01.679246,4,0.4,,,vinai/bertweet-base,mlp,,0.006218716301504541,cross_entropy,8,AdamW,COMPLETE
18,18,0.24328722538649308,2024-01-17 04:07:38.154318,2024-01-17 04:15:38.395103,0 days 00:08:00.240785,4,0.1,,,xlm-roberta-base,mlp,1.0,0.0035697998426360324,focal,2,RMSprop,COMPLETE
19,19,0.5625939543465316,2024-01-17 04:15:38.420197,2024-01-17 04:21:08.263637,0 days 00:05:29.843440,4,0.2,2.0,vinai/bertweet-base,,cnn,,0.001765767621162977,cross_entropy,8,SGD,PRUNED
