,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6956058041485386,2024-01-17 06:27:47.273092,2024-01-17 06:42:47.889354,0 days 00:15:00.616262,4,0.5,5.0,vinai/bertweet-base,,cnn,,0.00790320870850497,cross_entropy,9,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-17 06:42:47.938248,2024-01-17 06:47:45.195768,0 days 00:04:57.257520,8,0.1,,,roberta-base,mlp,,0.0007407827157205469,cross_entropy,15,Adam,COMPLETE
2,2,0.660857883167648,2024-01-17 06:47:45.218093,2024-01-17 06:57:17.376415,0 days 00:09:32.158322,8,0.5,4.0,bert-base-uncased,,cnn,,0.007539592348330909,cross_entropy,6,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-17 06:57:17.417314,2024-01-17 07:04:24.475976,0 days 00:07:07.058662,4,0.4,1.0,roberta-base,,cnn,1.0,0.0009997094933887124,focal,11,AdamW,COMPLETE
4,4,0.24328722538649308,2024-01-17 07:04:24.503414,2024-01-17 07:15:11.829288,0 days 00:10:47.325874,4,0.4,5.0,xlm-roberta-base,,cnn,5.0,0.006715217757694433,focal,2,AdamW,COMPLETE
5,5,0.24328722538649308,2024-01-17 07:15:11.862288,2024-01-17 07:25:26.498549,0 days 00:10:14.636261,4,0.5,5.0,xlm-roberta-base,,cnn,,0.005400778515006244,cross_entropy,8,Adam,COMPLETE
6,6,0.6327414192450878,2024-01-17 07:25:26.522363,2024-01-17 07:30:11.492710,0 days 00:04:44.970347,8,0.30000000000000004,5.0,bert-base-uncased,,cnn,,0.0018502717837835811,cross_entropy,14,SGD,PRUNED
7,7,0.5133585805084746,2024-01-17 07:30:11.534845,2024-01-17 07:34:30.245797,0 days 00:04:18.710952,8,0.4,,,vinai/bertweet-base,mlp,5.0,0.007884392611731437,focal,12,SGD,PRUNED
8,8,0.24328722538649308,2024-01-17 07:34:30.304580,2024-01-17 07:40:41.503463,0 days 00:06:11.198883,8,0.1,4.0,xlm-roberta-base,,cnn,4.0,0.007113962514161127,focal,15,RMSprop,COMPLETE
9,9,0.24328722538649308,2024-01-17 07:40:41.544029,2024-01-17 07:46:18.300580,0 days 00:05:36.756551,8,0.30000000000000004,4.0,vinai/bertweet-base,,cnn,,0.006620657039009673,cross_entropy,11,AdamW,COMPLETE
10,10,0.24328722538649308,2024-01-17 07:46:18.349806,2024-01-17 07:54:06.392997,0 days 00:07:48.043191,4,0.2,,,xlm-roberta-base,mlp,,0.009915088706322945,cross_entropy,5,RMSprop,COMPLETE
11,11,0.6349232323028361,2024-01-17 07:54:06.415276,2024-01-17 07:59:32.098342,0 days 00:05:25.683066,4,0.5,3.0,bert-base-uncased,,cnn,,0.009445206221951035,cross_entropy,7,SGD,PRUNED
12,12,0.543764185166324,2024-01-17 07:59:32.142322,2024-01-17 08:05:08.230284,0 days 00:05:36.087962,4,0.5,3.0,vinai/bertweet-base,,cnn,,0.003572528759960362,cross_entropy,6,SGD,PRUNED
13,13,0.592874154093224,2024-01-17 08:05:08.280230,2024-01-17 08:09:44.160768,0 days 00:04:35.880538,8,0.5,4.0,bert-base-uncased,,cnn,,0.008510861131119294,cross_entropy,4,SGD,PRUNED
14,14,0.24328722538649308,2024-01-17 08:09:44.202513,2024-01-17 08:15:44.080302,0 days 00:05:59.877789,8,0.4,,,microsoft/deberta-base,mlp,,0.004964066953387041,cross_entropy,9,SGD,COMPLETE
15,15,0.6094887592950844,2024-01-17 08:15:44.104973,2024-01-17 08:21:14.921671,0 days 00:05:30.816698,4,0.5,1.0,vinai/bertweet-base,,cnn,,0.005185183821924542,cross_entropy,9,SGD,PRUNED
16,16,0.6466629799069635,2024-01-17 08:21:14.965712,2024-01-17 08:25:56.766117,0 days 00:04:41.800405,8,0.2,4.0,roberta-base,,cnn,,0.00858359231735598,cross_entropy,3,SGD,PRUNED
17,17,0.1644144144144144,2024-01-17 08:25:56.821633,2024-01-17 08:29:28.456307,0 days 00:03:31.634674,4,0.4,2.0,vinai/bertweet-base,,cnn,,0.003435248373860692,cross_entropy,7,Adam,PRUNED
18,18,0.24328722538649308,2024-01-17 08:29:28.486578,2024-01-17 08:34:01.081911,0 days 00:04:32.595333,8,0.30000000000000004,,,bert-base-uncased,mlp,1.0,0.007577029501686114,focal,10,RMSprop,COMPLETE
19,19,0.6330057097904577,2024-01-17 08:34:01.120374,2024-01-17 08:39:48.513498,0 days 00:05:47.393124,4,0.5,5.0,bert-base-uncased,,cnn,,0.005780169342994787,cross_entropy,5,SGD,PRUNED
