,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-17 10:29:32.142541,2024-01-17 10:39:41.869465,0 days 00:10:09.726924,4,0.30000000000000004,2.0,xlm-roberta-base,,cnn,,0.007288694903564466,cross_entropy,15,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-17 10:39:41.894458,2024-01-17 10:46:48.548805,0 days 00:07:06.654347,4,0.5,1.0,vinai/bertweet-base,,cnn,,0.0038577724104669774,cross_entropy,7,Adam,COMPLETE
2,2,0.24328722538649308,2024-01-17 10:46:48.572226,2024-01-17 10:51:30.213848,0 days 00:04:41.641622,8,0.1,,,vinai/bertweet-base,mlp,,0.00793109317163265,cross_entropy,5,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-17 10:51:30.239055,2024-01-17 11:02:19.077515,0 days 00:10:48.838460,4,0.4,,,microsoft/deberta-base,mlp,,0.009872397917584201,cross_entropy,9,AdamW,COMPLETE
4,4,0.24328722538649308,2024-01-17 11:02:19.100402,2024-01-17 11:07:00.419122,0 days 00:04:41.318720,8,0.4,,,vinai/bertweet-base,mlp,,0.007696567454118462,cross_entropy,13,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-17 11:07:00.442436,2024-01-17 11:13:56.271752,0 days 00:06:55.829316,8,0.2,2.0,xlm-roberta-base,,cnn,3.0,0.005050477656645856,focal,15,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-17 11:13:56.296710,2024-01-17 11:20:37.024876,0 days 00:06:40.728166,8,0.4,,,xlm-roberta-base,mlp,4.0,0.002278146094674092,focal,6,AdamW,COMPLETE
7,7,0.24328722538649308,2024-01-17 11:20:37.082347,2024-01-17 11:25:45.886619,0 days 00:05:08.804272,8,0.4,2.0,bert-base-uncased,,cnn,,0.00950622381238914,cross_entropy,5,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-17 11:25:45.909656,2024-01-17 11:30:43.977173,0 days 00:04:58.067517,8,0.5,,,roberta-base,mlp,,0.008512216454022713,cross_entropy,11,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-17 11:30:44.001266,2024-01-17 11:35:39.448785,0 days 00:04:55.447519,8,0.5,2.0,xlm-roberta-base,,cnn,5.0,0.008673675725916461,focal,9,SGD,COMPLETE
10,10,0.6523047917406775,2024-01-17 11:35:39.472704,2024-01-17 11:53:47.621611,0 days 00:18:08.148907,4,0.2,5.0,roberta-base,,cnn,1.0,0.005677984757728864,focal,2,SGD,COMPLETE
11,11,0.24328722538649308,2024-01-17 11:53:47.665001,2024-01-17 11:59:54.469869,0 days 00:06:06.804868,4,0.2,5.0,roberta-base,,cnn,1.0,0.005997220914596782,focal,2,SGD,COMPLETE
12,12,0.24451344309621925,2024-01-17 11:59:54.492411,2024-01-17 12:06:09.889721,0 days 00:06:15.397310,4,0.2,5.0,roberta-base,,cnn,1.0,0.006181854449471462,focal,2,SGD,PRUNED
13,13,0.24328722538649308,2024-01-17 12:06:09.938822,2024-01-17 12:12:01.922356,0 days 00:05:51.983534,4,0.30000000000000004,4.0,roberta-base,,cnn,2.0,6.917867312200825e-05,focal,15,SGD,COMPLETE
14,14,0.24328722538649308,2024-01-17 12:12:01.945657,2024-01-17 12:22:21.877381,0 days 00:10:19.931724,4,0.30000000000000004,3.0,xlm-roberta-base,,cnn,,0.006699271347100566,cross_entropy,12,AdamW,COMPLETE
15,15,0.601047348764067,2024-01-17 12:22:21.910700,2024-01-17 12:33:46.960483,0 days 00:11:25.049783,4,0.1,3.0,bert-base-uncased,,cnn,2.0,0.0033673468114141744,focal,4,SGD,PRUNED
16,16,0.24328722538649308,2024-01-17 12:33:46.997331,2024-01-17 12:41:15.870187,0 days 00:07:28.872856,4,0.2,4.0,vinai/bertweet-base,,cnn,,0.004853622698575821,cross_entropy,10,Adam,COMPLETE
17,17,0.24328722538649308,2024-01-17 12:41:15.898166,2024-01-17 12:47:32.712607,0 days 00:06:16.814441,4,0.30000000000000004,1.0,roberta-base,,cnn,3.0,0.007249537563212654,focal,13,RMSprop,COMPLETE
18,18,0.6839635987618312,2024-01-17 12:47:32.735963,2024-01-17 13:04:29.328897,0 days 00:16:56.592934,4,0.1,4.0,xlm-roberta-base,,cnn,,0.0053735813016249105,cross_entropy,7,SGD,COMPLETE
19,19,0.24328722538649308,2024-01-17 13:04:29.364306,2024-01-17 13:11:03.688811,0 days 00:06:34.324505,4,0.1,4.0,xlm-roberta-base,,cnn,1.0,0.002034174154332937,focal,3,SGD,COMPLETE
