,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.5136819951831094,2024-01-17 08:39:52.760539,2024-01-17 08:54:27.675017,0 days 00:14:34.914478,4,0.4,,,xlm-roberta-base,mlp,2.0,0.0005914335572266408,focal,3,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-17 08:54:27.699072,2024-01-17 08:59:23.209956,0 days 00:04:55.510884,4,0.5,,,vinai/bertweet-base,mlp,5.0,0.00165124403311983,focal,4,SGD,COMPLETE
2,2,0.6659336317660658,2024-01-17 08:59:23.238407,2024-01-17 09:11:07.243928,0 days 00:11:44.005521,4,0.1,,,microsoft/deberta-base,mlp,,8.006588419696361e-05,cross_entropy,10,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-17 09:11:07.293649,2024-01-17 09:20:05.109084,0 days 00:08:57.815435,8,0.30000000000000004,3.0,xlm-roberta-base,,cnn,,0.0035629652686243085,cross_entropy,12,RMSprop,COMPLETE
4,4,0.6174070374070374,2024-01-17 09:20:05.137530,2024-01-17 09:29:08.680583,0 days 00:09:03.543053,8,0.4,3.0,bert-base-uncased,,cnn,,0.005021821430265315,cross_entropy,4,SGD,COMPLETE
5,5,0.24328722538649308,2024-01-17 09:29:08.725180,2024-01-17 09:32:55.369733,0 days 00:03:46.644553,4,0.4,4.0,vinai/bertweet-base,,cnn,,0.004044466606855374,cross_entropy,15,Adam,PRUNED
6,6,0.19876648886082848,2024-01-17 09:32:55.415771,2024-01-17 09:35:54.286283,0 days 00:02:58.870512,4,0.5,1.0,xlm-roberta-base,,cnn,,0.004898038518203254,cross_entropy,3,SGD,PRUNED
7,7,0.05950991831971995,2024-01-17 09:35:54.572724,2024-01-17 09:38:16.631409,0 days 00:02:22.058685,8,0.2,,,xlm-roberta-base,mlp,,0.001039290451709461,cross_entropy,5,SGD,PRUNED
8,8,0.24328722538649308,2024-01-17 09:38:16.919341,2024-01-17 09:40:24.919188,0 days 00:02:07.999847,8,0.5,,,vinai/bertweet-base,mlp,,0.00239583488845879,cross_entropy,14,SGD,PRUNED
9,9,0.2728877578404114,2024-01-17 09:40:24.965958,2024-01-17 09:42:47.571237,0 days 00:02:22.605279,8,0.1,4.0,vinai/bertweet-base,,cnn,,0.001641332902770581,cross_entropy,11,SGD,PRUNED
10,10,0.24328722538649308,2024-01-17 09:42:47.616641,2024-01-17 09:48:30.744068,0 days 00:05:43.127427,4,0.1,,,microsoft/deberta-base,mlp,1.0,0.007991023141771211,focal,8,AdamW,PRUNED
11,11,0.24328722538649308,2024-01-17 09:48:30.788834,2024-01-17 09:51:06.378926,0 days 00:02:35.590092,8,0.30000000000000004,2.0,bert-base-uncased,,cnn,,0.006906354373281837,cross_entropy,9,AdamW,PRUNED
12,12,0.24328722538649308,2024-01-17 09:51:06.423893,2024-01-17 09:54:19.317865,0 days 00:03:12.893972,8,0.2,,,microsoft/deberta-base,mlp,,0.006812656127010896,cross_entropy,7,RMSprop,PRUNED
13,13,0.24328722538649308,2024-01-17 09:54:19.367668,2024-01-17 09:57:55.867937,0 days 00:03:36.500269,4,0.4,5.0,bert-base-uncased,,cnn,,0.00620015288038947,cross_entropy,6,Adam,PRUNED
14,14,0.24328722538649308,2024-01-17 09:57:55.912110,2024-01-17 10:00:41.074407,0 days 00:02:45.162297,8,0.2,2.0,roberta-base,,cnn,5.0,0.009770289445274305,focal,10,AdamW,PRUNED
15,15,0.24328722538649308,2024-01-17 10:00:41.134028,2024-01-17 10:04:02.237894,0 days 00:03:21.103866,4,0.30000000000000004,,,bert-base-uncased,mlp,,0.003035339253168191,cross_entropy,13,AdamW,PRUNED
16,16,0.1644144144144144,2024-01-17 10:04:02.278531,2024-01-17 10:07:05.433062,0 days 00:03:03.154531,4,0.1,,,roberta-base,mlp,,0.004997067054260417,cross_entropy,2,RMSprop,PRUNED
17,17,0.6815119350894191,2024-01-17 10:07:05.477959,2024-01-17 10:15:11.449238,0 days 00:08:05.971279,8,0.4,3.0,bert-base-uncased,,cnn,,2.4507501190955058e-05,cross_entropy,8,Adam,COMPLETE
18,18,0.5653596878508901,2024-01-17 10:15:11.491011,2024-01-17 10:26:51.650966,0 days 00:11:40.159955,4,0.2,,,microsoft/deberta-base,mlp,3.0,0.0001475355175933991,focal,9,Adam,COMPLETE
19,19,0.1644144144144144,2024-01-17 10:26:51.675684,2024-01-17 10:29:27.552868,0 days 00:02:35.877184,8,0.4,1.0,roberta-base,,cnn,,0.0023351965790366557,cross_entropy,11,Adam,PRUNED
