,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-17 04:21:12.791536,2024-01-17 04:26:05.196406,0 days 00:04:52.404870,8,0.30000000000000004,1.0,roberta-base,,cnn,2.0,0.006707265915977898,focal,14,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-17 04:26:05.241710,2024-01-17 04:33:04.276535,0 days 00:06:59.034825,4,0.1,2.0,bert-base-uncased,,cnn,,0.008792752288039548,cross_entropy,6,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-17 04:33:04.299091,2024-01-17 04:37:52.730027,0 days 00:04:48.430936,8,0.2,1.0,roberta-base,,cnn,5.0,0.0072062118083221615,focal,15,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-17 04:37:52.753069,2024-01-17 04:42:45.204712,0 days 00:04:52.451643,8,0.5,,,bert-base-uncased,mlp,4.0,0.0017857474132562349,focal,13,Adam,COMPLETE
4,4,0.6720033116987114,2024-01-17 04:42:45.227760,2024-01-17 04:56:04.877017,0 days 00:13:19.649257,4,0.5,3.0,xlm-roberta-base,,cnn,4.0,0.004025630255658939,focal,10,SGD,COMPLETE
5,5,0.24328722538649308,2024-01-17 04:56:04.899536,2024-01-17 05:03:00.459625,0 days 00:06:55.560089,4,0.4,5.0,roberta-base,,cnn,1.0,0.0042947893817553,focal,6,RMSprop,COMPLETE
6,6,0.24328722538649308,2024-01-17 05:03:00.503883,2024-01-17 05:10:32.147509,0 days 00:07:31.643626,4,0.30000000000000004,4.0,bert-base-uncased,,cnn,1.0,0.00786082975841127,focal,12,AdamW,COMPLETE
7,7,0.24328722538649308,2024-01-17 05:10:32.169593,2024-01-17 05:16:58.385152,0 days 00:06:26.215559,8,0.5,,,xlm-roberta-base,mlp,,0.002246100506724341,cross_entropy,4,Adam,COMPLETE
8,8,0.24294245385450597,2024-01-17 05:16:58.411158,2024-01-17 05:20:26.382885,0 days 00:03:27.971727,8,0.30000000000000004,,,microsoft/deberta-base,mlp,5.0,0.0012922652115435382,focal,9,AdamW,PRUNED
9,9,0.24328722538649308,2024-01-17 05:20:26.433341,2024-01-17 05:28:02.239061,0 days 00:07:35.805720,4,0.5,5.0,bert-base-uncased,,cnn,1.0,0.0068194786004125586,focal,12,AdamW,COMPLETE
10,10,0.4959255398273669,2024-01-17 05:28:02.263108,2024-01-17 05:33:11.294249,0 days 00:05:09.031141,4,0.4,,,roberta-base,mlp,,0.004076810624938113,cross_entropy,9,SGD,PRUNED
11,11,0.5339841739567237,2024-01-17 05:33:11.335781,2024-01-17 05:38:15.945138,0 days 00:05:04.609357,8,0.1,3.0,xlm-roberta-base,,cnn,3.0,0.005675552340853772,focal,15,SGD,PRUNED
12,12,0.24328722538649308,2024-01-17 05:38:16.241022,2024-01-17 05:43:05.218387,0 days 00:04:48.977365,8,0.4,1.0,xlm-roberta-base,,cnn,3.0,0.005317268727737755,focal,11,SGD,COMPLETE
13,13,0.24328722538649308,2024-01-17 05:43:05.242362,2024-01-17 05:49:56.487356,0 days 00:06:51.244994,4,0.2,3.0,vinai/bertweet-base,,cnn,2.0,0.003010477801484864,focal,2,RMSprop,COMPLETE
14,14,0.24328722538649308,2024-01-17 05:49:56.513787,2024-01-17 05:58:14.672134,0 days 00:08:18.158347,4,0.2,2.0,xlm-roberta-base,,cnn,,0.009570301965911479,cross_entropy,10,RMSprop,COMPLETE
15,15,0.5538328685944344,2024-01-17 05:58:14.702391,2024-01-17 06:02:45.503440,0 days 00:04:30.801049,8,0.4,2.0,roberta-base,,cnn,4.0,0.006064459178483807,focal,7,SGD,PRUNED
16,16,0.5325431382035155,2024-01-17 06:02:45.548763,2024-01-17 06:07:42.347420,0 days 00:04:56.798657,8,0.30000000000000004,4.0,vinai/bertweet-base,,cnn,2.0,0.003604396359962285,focal,14,SGD,PRUNED
17,17,0.24328722538649308,2024-01-17 06:07:42.394218,2024-01-17 06:15:58.133588,0 days 00:08:15.739370,4,0.5,1.0,xlm-roberta-base,,cnn,4.0,0.0002656132627416449,focal,13,RMSprop,COMPLETE
18,18,0.24328722538649308,2024-01-17 06:15:58.156638,2024-01-17 06:22:57.445947,0 days 00:06:59.289309,4,0.2,,,vinai/bertweet-base,mlp,,0.004834294964979541,cross_entropy,8,Adam,COMPLETE
19,19,0.5893692535206844,2024-01-17 06:22:57.470062,2024-01-17 06:27:42.710803,0 days 00:04:45.240741,8,0.4,4.0,roberta-base,,cnn,2.0,0.00845608706007265,focal,11,SGD,PRUNED
