,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-16 16:02:08.037703,2024-01-16 16:12:31.602973,0 days 00:10:23.565270,4,0.4,,,microsoft/deberta-base,mlp,4.0,0.0019825462889384244,focal,7,Adam,COMPLETE
1,1,0.24328722538649308,2024-01-16 16:12:31.626223,2024-01-16 16:18:03.389941,0 days 00:05:31.763718,4,0.1,2.0,bert-base-uncased,,cnn,,0.004361410868843014,cross_entropy,11,RMSprop,COMPLETE
2,2,0.24328722538649308,2024-01-16 16:18:03.412936,2024-01-16 16:24:04.140337,0 days 00:06:00.727401,4,0.1,4.0,roberta-base,,cnn,5.0,0.005943966001817045,focal,8,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-16 16:24:04.161781,2024-01-16 16:29:05.281501,0 days 00:05:01.119720,4,0.4,,,bert-base-uncased,mlp,,0.005784911308250335,cross_entropy,9,RMSprop,COMPLETE
4,4,0.6657953526873407,2024-01-16 16:29:05.303515,2024-01-16 16:45:33.885843,0 days 00:16:28.582328,4,0.4,5.0,bert-base-uncased,,cnn,1.0,0.0031083881285538834,focal,15,SGD,COMPLETE
5,5,0.1644144144144144,2024-01-16 16:45:33.907840,2024-01-16 16:49:23.236633,0 days 00:03:49.328793,4,0.1,3.0,xlm-roberta-base,,cnn,4.0,0.00021118559187855668,focal,15,RMSprop,PRUNED
6,6,0.1644144144144144,2024-01-16 16:49:23.461269,2024-01-16 16:52:32.080741,0 days 00:03:08.619472,4,0.1,4.0,vinai/bertweet-base,,cnn,,0.0023138170527412538,cross_entropy,7,RMSprop,PRUNED
7,7,0.1644144144144144,2024-01-16 16:52:32.124322,2024-01-16 16:55:35.084968,0 days 00:03:02.960646,4,0.4,3.0,bert-base-uncased,,cnn,,0.0026059418203642696,cross_entropy,11,Adam,PRUNED
8,8,0.24328722538649308,2024-01-16 16:55:35.122980,2024-01-16 17:01:36.620619,0 days 00:06:01.497639,4,0.30000000000000004,,,vinai/bertweet-base,mlp,,0.0090925372884949,cross_entropy,2,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-16 17:01:36.649173,2024-01-16 17:09:59.253398,0 days 00:08:22.604225,4,0.2,,,xlm-roberta-base,mlp,1.0,0.0023815410760502594,focal,7,Adam,COMPLETE
10,10,0.6495720514279987,2024-01-16 17:09:59.277205,2024-01-16 17:20:50.622031,0 days 00:10:51.344826,4,0.5,5.0,bert-base-uncased,,cnn,1.0,0.009420668676367943,focal,15,SGD,PRUNED
11,11,0.1644144144144144,2024-01-16 17:20:50.658747,2024-01-16 17:25:24.722846,0 days 00:04:34.064099,4,0.4,,,microsoft/deberta-base,mlp,3.0,1.0193268815063012e-05,focal,4,SGD,PRUNED
12,12,0.24328722538649308,2024-01-16 17:25:24.769865,2024-01-16 17:35:08.128901,0 days 00:09:43.359036,4,0.5,,,microsoft/deberta-base,mlp,3.0,0.0036722532871913344,focal,12,AdamW,COMPLETE
13,13,0.24328722538649308,2024-01-16 17:35:08.169595,2024-01-16 17:39:41.399383,0 days 00:04:33.229788,4,0.30000000000000004,,,roberta-base,mlp,2.0,0.0014880430417252726,focal,5,SGD,COMPLETE
14,14,0.24328722538649308,2024-01-16 17:39:41.429462,2024-01-16 17:48:42.316929,0 days 00:09:00.887467,4,0.4,1.0,xlm-roberta-base,,cnn,5.0,0.007439809543378479,focal,13,AdamW,COMPLETE
15,15,0.24328722538649308,2024-01-16 17:48:42.340224,2024-01-16 17:56:43.452875,0 days 00:08:01.112651,4,0.5,,,microsoft/deberta-base,mlp,4.0,0.003620665743418298,focal,9,SGD,COMPLETE
16,16,0.24328722538649308,2024-01-16 17:56:43.476970,2024-01-16 18:03:52.447848,0 days 00:07:08.970878,4,0.30000000000000004,5.0,vinai/bertweet-base,,cnn,2.0,0.0013429577879600567,focal,4,Adam,COMPLETE
17,17,0.24328722538649308,2024-01-16 18:03:52.469931,2024-01-16 18:09:00.180081,0 days 00:05:07.710150,4,0.2,,,xlm-roberta-base,mlp,4.0,0.0052828864912666945,focal,6,SGD,COMPLETE
18,18,0.24328722538649308,2024-01-16 18:09:00.208336,2024-01-16 18:15:06.890817,0 days 00:06:06.682481,4,0.4,,,vinai/bertweet-base,mlp,2.0,0.0036439559211013245,focal,10,Adam,COMPLETE
19,19,0.24328722538649308,2024-01-16 18:15:06.916016,2024-01-16 18:22:13.482919,0 days 00:07:06.566903,4,0.2,5.0,roberta-base,,cnn,4.0,0.006582977424075214,focal,14,AdamW,COMPLETE
