,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-16 03:12:01.968687,2024-01-16 03:17:18.827628,0 days 00:05:16.858941,8,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.005810422732996628,cross_entropy,10,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-16 03:17:18.850280,2024-01-16 03:23:31.304224,0 days 00:06:12.453944,8,0.1,2.0,xlm-roberta-base,,cnn,3.0,0.008095789228950772,focal,9,AdamW,COMPLETE
2,2,0.689663396663266,2024-01-16 03:23:31.333917,2024-01-16 03:33:33.801447,0 days 00:10:02.467530,8,0.5,1.0,roberta-base,,cnn,,0.004396374852303991,cross_entropy,8,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-16 03:33:33.849488,2024-01-16 03:39:42.509798,0 days 00:06:08.660310,8,0.2,4.0,xlm-roberta-base,,cnn,,0.004108822473314169,cross_entropy,6,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-16 03:39:42.533347,2024-01-16 03:44:31.814936,0 days 00:04:49.281589,8,0.5,4.0,bert-base-uncased,,cnn,3.0,0.00978901977381539,focal,13,Adam,COMPLETE
5,5,0.24328722538649308,2024-01-16 03:44:31.838026,2024-01-16 03:53:39.493434,0 days 00:09:07.655408,4,0.2,5.0,xlm-roberta-base,,cnn,,0.0017546811715745043,cross_entropy,11,Adam,COMPLETE
6,6,0.24328722538649308,2024-01-16 03:53:39.516743,2024-01-16 03:58:17.649751,0 days 00:04:38.133008,8,0.30000000000000004,4.0,vinai/bertweet-base,,cnn,,0.007775597286643343,cross_entropy,13,RMSprop,COMPLETE
7,7,0.1644144144144144,2024-01-16 03:58:17.697905,2024-01-16 04:00:57.339226,0 days 00:02:39.641321,4,0.4,1.0,bert-base-uncased,,cnn,5.0,0.0034064394009585613,focal,6,RMSprop,PRUNED
8,8,0.24328722538649308,2024-01-16 04:00:57.377032,2024-01-16 04:07:43.268609,0 days 00:06:45.891577,4,0.2,5.0,bert-base-uncased,,cnn,1.0,0.0023207563919899667,focal,10,AdamW,COMPLETE
9,9,0.24328722538649308,2024-01-16 04:07:43.290384,2024-01-16 04:13:33.473158,0 days 00:05:50.182774,4,0.30000000000000004,3.0,roberta-base,,cnn,,0.0017658616492318266,cross_entropy,2,RMSprop,COMPLETE
10,10,0.05950991831971995,2024-01-16 04:13:33.496690,2024-01-16 04:15:41.834561,0 days 00:02:08.337871,8,0.5,,,xlm-roberta-base,mlp,,0.00012278307826066402,cross_entropy,6,SGD,PRUNED
11,11,0.24328722538649308,2024-01-16 04:15:42.092077,2024-01-16 04:20:55.420850,0 days 00:05:13.328773,8,0.4,,,microsoft/deberta-base,mlp,,0.00559181499285662,cross_entropy,8,SGD,COMPLETE
12,12,0.500815094262775,2024-01-16 04:20:55.464697,2024-01-16 04:26:15.439396,0 days 00:05:19.974699,8,0.4,,,microsoft/deberta-base,mlp,,0.005973468467732234,cross_entropy,15,SGD,PRUNED
13,13,0.24328722538649308,2024-01-16 04:26:15.493887,2024-01-16 04:30:02.334670,0 days 00:03:46.840783,8,0.5,,,roberta-base,mlp,,0.006723003833565211,cross_entropy,2,SGD,COMPLETE
14,14,0.1644144144144144,2024-01-16 04:30:02.365434,2024-01-16 04:31:55.546960,0 days 00:01:53.181526,8,0.1,,,bert-base-uncased,mlp,,0.004499637099141098,cross_entropy,8,SGD,PRUNED
15,15,0.6302288787699505,2024-01-16 04:31:55.585838,2024-01-16 04:37:32.746806,0 days 00:05:37.160968,8,0.4,,,vinai/bertweet-base,mlp,,0.00718045223029559,cross_entropy,12,SGD,COMPLETE
16,16,0.5597151702929128,2024-01-16 04:37:32.794264,2024-01-16 04:41:23.230984,0 days 00:03:50.436720,8,0.4,,,vinai/bertweet-base,mlp,,0.009865014299639504,cross_entropy,12,SGD,PRUNED
17,17,0.5332920912132035,2024-01-16 04:41:23.272092,2024-01-16 04:45:14.858203,0 days 00:03:51.586111,8,0.5,,,vinai/bertweet-base,mlp,,0.007634365260018592,cross_entropy,15,SGD,PRUNED
18,18,0.24328722538649308,2024-01-16 04:45:14.902748,2024-01-16 04:51:45.708951,0 days 00:06:30.806203,4,0.4,1.0,roberta-base,,cnn,1.0,0.003296763251785165,focal,4,AdamW,COMPLETE
19,19,0.5684367026201714,2024-01-16 04:51:45.730662,2024-01-16 04:55:39.253800,0 days 00:03:53.523138,8,0.5,,,vinai/bertweet-base,mlp,,0.009072278431320992,cross_entropy,13,SGD,PRUNED
