,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-16 04:55:43.698032,2024-01-16 05:01:29.089045,0 days 00:05:45.391013,4,0.5,,,bert-base-uncased,mlp,4.0,0.008805849117228728,focal,9,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-16 05:01:29.117449,2024-01-16 05:07:41.790552,0 days 00:06:12.673103,4,0.5,,,vinai/bertweet-base,mlp,4.0,0.0015796253007964384,focal,14,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-16 05:07:41.813211,2024-01-16 05:13:26.177858,0 days 00:05:44.364647,4,0.30000000000000004,2.0,vinai/bertweet-base,,cnn,5.0,0.0028382686224760778,focal,8,RMSprop,COMPLETE
3,3,0.5136819951831094,2024-01-16 05:13:26.211589,2024-01-16 05:23:10.767195,0 days 00:09:44.555606,8,0.2,5.0,bert-base-uncased,,cnn,,0.0008670346609189113,cross_entropy,5,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-16 05:23:10.788207,2024-01-16 05:28:52.762275,0 days 00:05:41.974068,8,0.5,,,microsoft/deberta-base,mlp,,0.007881211229607771,cross_entropy,6,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-16 05:28:52.784974,2024-01-16 05:34:01.468669,0 days 00:05:08.683695,8,0.5,,,xlm-roberta-base,mlp,3.0,0.0066539630798578475,focal,3,RMSprop,COMPLETE
6,6,0.24328722538649308,2024-01-16 05:34:01.491909,2024-01-16 05:39:49.968700,0 days 00:05:48.476791,8,0.2,,,xlm-roberta-base,mlp,5.0,0.0059172292339934466,focal,7,Adam,COMPLETE
7,7,0.24328722538649308,2024-01-16 05:39:49.991693,2024-01-16 05:45:22.958295,0 days 00:05:32.966602,4,0.4,1.0,roberta-base,,cnn,4.0,0.008893092825189915,focal,5,RMSprop,COMPLETE
8,8,0.24328722538649308,2024-01-16 05:45:22.980731,2024-01-16 05:51:32.309733,0 days 00:06:09.329002,4,0.30000000000000004,5.0,vinai/bertweet-base,,cnn,,0.002857529283259727,cross_entropy,4,RMSprop,COMPLETE
9,9,0.24328722538649308,2024-01-16 05:51:32.333447,2024-01-16 05:59:46.853015,0 days 00:08:14.519568,4,0.1,,,xlm-roberta-base,mlp,,0.008569867957380252,cross_entropy,10,Adam,COMPLETE
10,10,0.38995585480291667,2024-01-16 05:59:46.876911,2024-01-16 06:04:04.981708,0 days 00:04:18.104797,8,0.1,5.0,bert-base-uncased,,cnn,,0.0004103112104825959,cross_entropy,2,SGD,PRUNED
11,11,0.24328722538649308,2024-01-16 06:04:05.018678,2024-01-16 06:08:52.714924,0 days 00:04:47.696246,8,0.2,4.0,bert-base-uncased,,cnn,,0.0039940907520507945,cross_entropy,11,AdamW,COMPLETE
12,12,0.24328722538649308,2024-01-16 06:08:52.737674,2024-01-16 06:14:28.024065,0 days 00:05:35.286391,4,0.4,,,bert-base-uncased,mlp,1.0,0.005216163063409805,focal,11,Adam,COMPLETE
13,13,0.67345764807279,2024-01-16 06:14:28.046513,2024-01-16 06:21:04.660373,0 days 00:06:36.613860,8,0.2,3.0,xlm-roberta-base,,cnn,,9.28633646231561e-05,cross_entropy,14,AdamW,COMPLETE
14,14,0.2101869247042483,2024-01-16 06:21:04.681720,2024-01-16 06:23:19.865858,0 days 00:02:15.184138,8,0.2,3.0,xlm-roberta-base,,cnn,,0.00017417325167498268,cross_entropy,15,SGD,PRUNED
15,15,0.24328722538649308,2024-01-16 06:23:20.095156,2024-01-16 06:29:24.293379,0 days 00:06:04.198223,8,0.2,3.0,xlm-roberta-base,,cnn,,0.001550469991352577,cross_entropy,13,Adam,COMPLETE
16,16,0.24328722538649308,2024-01-16 06:29:24.316998,2024-01-16 06:35:47.560807,0 days 00:06:23.243809,8,0.1,4.0,xlm-roberta-base,,cnn,,0.001690053590776204,cross_entropy,12,AdamW,COMPLETE
17,17,0.24328722538649308,2024-01-16 06:35:47.606404,2024-01-16 06:40:22.841374,0 days 00:04:35.234970,8,0.30000000000000004,2.0,bert-base-uncased,,cnn,,0.0035879676450574,cross_entropy,6,Adam,COMPLETE
18,18,0.05950991831971995,2024-01-16 06:40:22.863277,2024-01-16 06:42:55.263288,0 days 00:02:32.400011,8,0.2,4.0,roberta-base,,cnn,,0.0007842218195344072,cross_entropy,8,AdamW,PRUNED
19,19,0.6723515991939655,2024-01-16 06:42:55.303829,2024-01-16 06:53:07.463916,0 days 00:10:12.160087,8,0.4,2.0,bert-base-uncased,,cnn,,0.0024545926827762373,cross_entropy,15,SGD,COMPLETE
