,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.6924390964890702,2024-01-16 08:54:40.905155,2024-01-16 09:06:48.817994,0 days 00:12:07.912839,4,0.4,5.0,xlm-roberta-base,,cnn,,4.7866879932936254e-05,cross_entropy,7,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-16 09:06:48.851980,2024-01-16 09:11:51.332026,0 days 00:05:02.480046,4,0.30000000000000004,,,xlm-roberta-base,mlp,2.0,0.009246044557419918,focal,3,SGD,COMPLETE
2,2,0.6785902620977375,2024-01-16 09:11:51.355901,2024-01-16 09:25:29.699019,0 days 00:13:38.343118,4,0.5,5.0,bert-base-uncased,,cnn,,0.00997480074221162,cross_entropy,2,SGD,COMPLETE
3,3,0.24328722538649308,2024-01-16 09:25:29.720801,2024-01-16 09:33:02.154692,0 days 00:07:32.433891,4,0.5,3.0,xlm-roberta-base,,cnn,2.0,0.0014068821364808083,focal,15,RMSprop,COMPLETE
4,4,0.6899200140032277,2024-01-16 09:33:02.194685,2024-01-16 09:48:04.621185,0 days 00:15:02.426500,4,0.2,3.0,xlm-roberta-base,,cnn,1.0,0.004543677930886378,focal,15,SGD,COMPLETE
5,5,0.24328722538649308,2024-01-16 09:48:04.649087,2024-01-16 09:54:23.689785,0 days 00:06:19.040698,4,0.2,5.0,vinai/bertweet-base,,cnn,,0.006381562719105645,cross_entropy,5,RMSprop,COMPLETE
6,6,0.24328722538649308,2024-01-16 09:54:23.711974,2024-01-16 10:01:10.600390,0 days 00:06:46.888416,4,0.1,4.0,vinai/bertweet-base,,cnn,1.0,0.007598050633933217,focal,5,Adam,COMPLETE
7,7,0.24328722538649308,2024-01-16 10:01:10.622280,2024-01-16 10:10:59.787936,0 days 00:09:49.165656,4,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.003088439931638166,cross_entropy,8,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-16 10:10:59.813728,2024-01-16 10:19:23.212319,0 days 00:08:23.398591,4,0.5,,,xlm-roberta-base,mlp,2.0,0.007638953801220046,focal,7,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-16 10:19:23.235439,2024-01-16 10:26:04.847207,0 days 00:06:41.611768,4,0.1,4.0,bert-base-uncased,,cnn,3.0,0.000984395879215194,focal,5,AdamW,COMPLETE
10,10,0.24328722538649308,2024-01-16 10:26:04.869275,2024-01-16 10:31:15.504454,0 days 00:05:10.635179,4,0.4,,,roberta-base,mlp,,0.0003173988202632874,cross_entropy,11,RMSprop,COMPLETE
11,11,0.5089935514780017,2024-01-16 10:31:15.526845,2024-01-16 10:36:36.903216,0 days 00:05:21.376371,4,0.2,1.0,xlm-roberta-base,,cnn,,0.004055576827663965,cross_entropy,12,SGD,COMPLETE
12,12,0.6747259317832168,2024-01-16 10:36:36.926448,2024-01-16 10:44:19.052593,0 days 00:07:42.126145,4,0.4,2.0,roberta-base,,cnn,,0.002846573399093414,cross_entropy,11,SGD,COMPLETE
13,13,0.1644144144144144,2024-01-16 10:44:19.076639,2024-01-16 10:48:12.767662,0 days 00:03:53.691023,4,0.2,3.0,xlm-roberta-base,,cnn,5.0,0.005782638005650894,focal,15,RMSprop,PRUNED
14,14,0.24328722538649308,2024-01-16 10:48:12.978221,2024-01-16 10:55:43.695412,0 days 00:07:30.717191,4,0.4,2.0,xlm-roberta-base,,cnn,5.0,0.00236720565576124,focal,9,RMSprop,COMPLETE
15,15,0.6833270727882819,2024-01-16 10:55:43.717611,2024-01-16 11:07:42.901028,0 days 00:11:59.183417,4,0.30000000000000004,4.0,xlm-roberta-base,,cnn,,0.004771709406754021,cross_entropy,12,SGD,COMPLETE
16,16,0.24328722538649308,2024-01-16 11:07:42.944959,2024-01-16 11:13:56.802979,0 days 00:06:13.858020,4,0.2,2.0,roberta-base,,cnn,,0.004177706184151554,cross_entropy,9,Adam,COMPLETE
17,17,0.24328722538649308,2024-01-16 11:13:56.825268,2024-01-16 11:23:34.355598,0 days 00:09:37.530330,4,0.4,5.0,xlm-roberta-base,,cnn,1.0,0.00014392237306494644,focal,13,AdamW,COMPLETE
18,18,0.5270624861828159,2024-01-16 11:23:34.384091,2024-01-16 11:28:03.798297,0 days 00:04:29.414206,4,0.1,,,bert-base-uncased,mlp,4.0,0.001892872150122476,focal,7,SGD,PRUNED
19,19,0.24328722538649308,2024-01-16 11:28:03.832334,2024-01-16 11:35:27.754626,0 days 00:07:23.922292,4,0.30000000000000004,3.0,xlm-roberta-base,,cnn,,0.006979666809026106,cross_entropy,10,RMSprop,COMPLETE
