,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-16 13:56:22.910881,2024-01-16 14:01:30.671758,0 days 00:05:07.760877,4,0.5,,,bert-base-uncased,mlp,,0.004763896924716487,cross_entropy,15,RMSprop,COMPLETE
1,1,0.6700899534772929,2024-01-16 14:01:30.698185,2024-01-16 14:16:58.577665,0 days 00:15:27.879480,4,0.4,,,bert-base-uncased,mlp,2.0,0.0030933577901439014,focal,8,SGD,COMPLETE
2,2,0.24328722538649308,2024-01-16 14:16:58.599887,2024-01-16 14:25:44.454053,0 days 00:08:45.854166,4,0.4,3.0,xlm-roberta-base,,cnn,,0.006200241399209489,cross_entropy,6,Adam,COMPLETE
3,3,0.24328722538649308,2024-01-16 14:25:44.511721,2024-01-16 14:36:17.479081,0 days 00:10:32.967360,4,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.005013338650854148,cross_entropy,11,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-16 14:36:17.516497,2024-01-16 14:44:42.631420,0 days 00:08:25.114923,4,0.4,,,xlm-roberta-base,mlp,3.0,0.006322126202609643,focal,9,Adam,COMPLETE
5,5,0.1644144144144144,2024-01-16 14:44:42.654082,2024-01-16 14:47:02.026701,0 days 00:02:19.372619,4,0.30000000000000004,,,roberta-base,mlp,,0.0009136828895716796,cross_entropy,6,SGD,PRUNED
6,6,0.24328722538649308,2024-01-16 14:47:02.076481,2024-01-16 14:52:57.317844,0 days 00:05:55.241363,4,0.5,,,bert-base-uncased,mlp,5.0,0.007619150410241383,focal,2,Adam,COMPLETE
7,7,0.24328722538649308,2024-01-16 14:52:57.345170,2024-01-16 14:58:17.131804,0 days 00:05:19.786634,4,0.2,,,xlm-roberta-base,mlp,2.0,0.007250237099021916,focal,4,SGD,COMPLETE
8,8,0.24328722538649308,2024-01-16 14:58:17.177739,2024-01-16 15:04:15.705892,0 days 00:05:58.528153,4,0.2,2.0,bert-base-uncased,,cnn,,0.004966021723295431,cross_entropy,4,Adam,COMPLETE
9,9,0.1644144144144144,2024-01-16 15:04:15.747356,2024-01-16 15:07:09.112130,0 days 00:02:53.364774,4,0.4,,,bert-base-uncased,mlp,,0.0027579578329082295,cross_entropy,10,Adam,PRUNED
10,10,0.24328722538649308,2024-01-16 15:07:09.157598,2024-01-16 15:14:14.495914,0 days 00:07:05.338316,4,0.1,5.0,roberta-base,,cnn,1.0,0.00998939616776594,focal,14,AdamW,COMPLETE
11,11,0.24328722538649308,2024-01-16 15:14:14.518630,2024-01-16 15:19:48.342786,0 days 00:05:33.824156,4,0.5,,,vinai/bertweet-base,mlp,4.0,0.0027995352955242723,focal,15,RMSprop,COMPLETE
12,12,0.24328722538649308,2024-01-16 15:19:48.366350,2024-01-16 15:24:58.644001,0 days 00:05:10.277651,4,0.5,,,bert-base-uncased,mlp,1.0,0.002812148501644935,focal,12,RMSprop,COMPLETE
13,13,0.6757302530366411,2024-01-16 15:24:58.666820,2024-01-16 15:33:06.746304,0 days 00:08:08.079484,4,0.4,,,bert-base-uncased,mlp,,0.0001236197817595739,cross_entropy,7,RMSprop,COMPLETE
14,14,0.2699247538147314,2024-01-16 15:33:06.767799,2024-01-16 15:37:39.021319,0 days 00:04:32.253520,4,0.4,1.0,vinai/bertweet-base,,cnn,,1.9493690832720915e-05,cross_entropy,7,SGD,PRUNED
15,15,0.24328722538649308,2024-01-16 15:37:39.062399,2024-01-16 15:43:27.871198,0 days 00:05:48.808799,4,0.30000000000000004,,,bert-base-uncased,mlp,3.0,0.0017021858584983119,focal,8,AdamW,COMPLETE
16,16,0.05950991831971995,2024-01-16 15:43:27.894763,2024-01-16 15:47:28.548736,0 days 00:04:00.653973,4,0.4,,,microsoft/deberta-base,mlp,,1.605118029816545e-05,cross_entropy,5,SGD,PRUNED
17,17,0.24328722538649308,2024-01-16 15:47:28.603121,2024-01-16 15:53:14.230960,0 days 00:05:45.627839,4,0.2,,,vinai/bertweet-base,mlp,2.0,0.001767584337414359,focal,8,RMSprop,COMPLETE
18,18,0.24328722538649308,2024-01-16 15:53:14.254135,2024-01-16 15:59:36.878566,0 days 00:06:22.624431,4,0.4,5.0,vinai/bertweet-base,,cnn,2.0,0.0037450166115628562,focal,12,RMSprop,COMPLETE
19,19,0.05950991831971995,2024-01-16 15:59:36.901432,2024-01-16 16:02:03.613626,0 days 00:02:26.712194,4,0.30000000000000004,,,roberta-base,mlp,,0.0011939517633259627,cross_entropy,2,SGD,PRUNED
