,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-16 11:35:32.069979,2024-01-16 11:41:28.818084,0 days 00:05:56.748105,4,0.2,5.0,bert-base-uncased,,cnn,5.0,0.0008297725757388151,focal,8,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-16 11:41:28.862587,2024-01-16 11:49:57.654302,0 days 00:08:28.791715,4,0.4,1.0,xlm-roberta-base,,cnn,,0.0020988960666593753,cross_entropy,15,Adam,COMPLETE
2,2,0.6773444367805306,2024-01-16 11:49:57.682616,2024-01-16 12:00:38.852050,0 days 00:10:41.169434,4,0.5,,,microsoft/deberta-base,mlp,,0.00015333133750445384,cross_entropy,10,Adam,COMPLETE
3,3,0.24328722538649308,2024-01-16 12:00:38.873387,2024-01-16 12:07:00.376756,0 days 00:06:21.503369,4,0.1,1.0,vinai/bertweet-base,,cnn,,0.006913694997826898,cross_entropy,9,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-16 12:07:00.403388,2024-01-16 12:13:33.396844,0 days 00:06:32.993456,4,0.2,3.0,roberta-base,,cnn,,0.0007999865506699989,cross_entropy,6,AdamW,COMPLETE
5,5,0.6800431692062476,2024-01-16 12:13:33.420063,2024-01-16 12:33:29.205900,0 days 00:19:55.785837,4,0.2,2.0,roberta-base,,cnn,,0.0005872540731332447,cross_entropy,14,SGD,COMPLETE
6,6,0.24328722538649308,2024-01-16 12:33:29.247788,2024-01-16 12:40:14.730227,0 days 00:06:45.482439,4,0.1,4.0,vinai/bertweet-base,,cnn,,0.0032078024145806043,cross_entropy,6,Adam,COMPLETE
7,7,0.1644144144144144,2024-01-16 12:40:14.752460,2024-01-16 12:43:52.526280,0 days 00:03:37.773820,4,0.4,,,xlm-roberta-base,mlp,,0.007570763149252126,cross_entropy,10,RMSprop,PRUNED
8,8,0.24328722538649308,2024-01-16 12:43:52.788810,2024-01-16 12:50:46.279610,0 days 00:06:53.490800,4,0.30000000000000004,5.0,vinai/bertweet-base,,cnn,,0.0005984113417774283,cross_entropy,8,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-16 12:50:46.302268,2024-01-16 13:00:02.511293,0 days 00:09:16.209025,4,0.5,3.0,xlm-roberta-base,,cnn,4.0,0.006769995468193033,focal,8,AdamW,COMPLETE
10,10,0.6721032618690793,2024-01-16 13:00:02.534408,2024-01-16 13:06:59.636909,0 days 00:06:57.102501,4,0.2,,,bert-base-uncased,mlp,1.0,0.009823253742750247,focal,15,SGD,COMPLETE
11,11,0.24328722538649308,2024-01-16 13:06:59.664389,2024-01-16 13:15:53.874189,0 days 00:08:54.209800,4,0.5,,,microsoft/deberta-base,mlp,,0.003875915624999507,cross_entropy,12,SGD,COMPLETE
12,12,0.24328722538649308,2024-01-16 13:15:53.902786,2024-01-16 13:20:13.879668,0 days 00:04:19.976882,4,0.30000000000000004,,,roberta-base,mlp,,1.0285282470230868e-05,cross_entropy,2,SGD,COMPLETE
13,13,0.24328722538649308,2024-01-16 13:20:13.902702,2024-01-16 13:28:02.640918,0 days 00:07:48.738216,4,0.4,,,microsoft/deberta-base,mlp,,0.0026389023441601473,cross_entropy,12,SGD,COMPLETE
14,14,0.24328722538649308,2024-01-16 13:28:02.664265,2024-01-16 13:34:06.588159,0 days 00:06:03.923894,4,0.2,,,vinai/bertweet-base,mlp,1.0,0.0049146547457625854,focal,13,Adam,COMPLETE
15,15,0.1644144144144144,2024-01-16 13:34:06.610079,2024-01-16 13:38:44.630908,0 days 00:04:38.020829,4,0.5,,,microsoft/deberta-base,mlp,,0.0018665266806419637,cross_entropy,11,SGD,PRUNED
16,16,0.1644144144144144,2024-01-16 13:38:44.666872,2024-01-16 13:41:19.647240,0 days 00:02:34.980368,4,0.30000000000000004,,,roberta-base,mlp,,0.004314375901758807,cross_entropy,14,RMSprop,PRUNED
17,17,0.42769129940552925,2024-01-16 13:41:19.698730,2024-01-16 13:47:52.001797,0 days 00:06:32.303067,4,0.4,2.0,roberta-base,,cnn,,0.0016366654454560787,cross_entropy,2,AdamW,COMPLETE
18,18,0.24328722538649308,2024-01-16 13:47:52.026220,2024-01-16 13:53:06.012068,0 days 00:05:13.985848,4,0.1,,,xlm-roberta-base,mlp,3.0,0.006023691670905041,focal,6,SGD,COMPLETE
19,19,0.1644144144144144,2024-01-16 13:53:06.034917,2024-01-16 13:56:18.368787,0 days 00:03:12.333870,4,0.2,2.0,roberta-base,,cnn,,0.008743583726403999,cross_entropy,4,Adam,PRUNED
