,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-16 06:53:11.799369,2024-01-16 06:57:37.022052,0 days 00:04:25.222683,8,0.5,,,bert-base-uncased,mlp,5.0,0.001932711175385957,focal,9,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-16 06:57:37.065546,2024-01-16 07:06:48.147633,0 days 00:09:11.082087,8,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.009961980222463328,cross_entropy,6,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-16 07:06:48.171977,2024-01-16 07:17:24.873659,0 days 00:10:36.701682,4,0.30000000000000004,,,microsoft/deberta-base,mlp,2.0,0.0034768618200186636,focal,7,Adam,COMPLETE
3,3,0.6984500342886956,2024-01-16 07:17:24.906834,2024-01-16 07:27:03.731798,0 days 00:09:38.824964,8,0.4,,,roberta-base,mlp,,0.009187495638263982,cross_entropy,14,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-16 07:27:03.754383,2024-01-16 07:36:33.062966,0 days 00:09:29.308583,4,0.5,,,vinai/bertweet-base,mlp,5.0,0.004099170885160845,focal,14,Adam,COMPLETE
5,5,0.24328722538649308,2024-01-16 07:36:33.105632,2024-01-16 07:42:32.007183,0 days 00:05:58.901551,8,0.4,,,microsoft/deberta-base,mlp,,0.009917871140739573,cross_entropy,9,Adam,COMPLETE
6,6,0.24328722538649308,2024-01-16 07:42:32.033470,2024-01-16 07:48:30.117004,0 days 00:05:58.083534,8,0.30000000000000004,,,xlm-roberta-base,mlp,3.0,0.006837640105798142,focal,12,AdamW,COMPLETE
7,7,0.24328722538649308,2024-01-16 07:48:30.139675,2024-01-16 07:55:02.482038,0 days 00:06:32.342363,4,0.5,4.0,bert-base-uncased,,cnn,5.0,0.006848390456542226,focal,4,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-16 07:55:02.505058,2024-01-16 08:03:59.072472,0 days 00:08:56.567414,4,0.30000000000000004,,,microsoft/deberta-base,mlp,,0.00876548937180312,cross_entropy,3,SGD,COMPLETE
9,9,0.24328722538649308,2024-01-16 08:03:59.094087,2024-01-16 08:09:31.194064,0 days 00:05:32.099977,4,0.30000000000000004,1.0,roberta-base,,cnn,1.0,0.0026856532389676335,focal,2,RMSprop,COMPLETE
10,10,0.5869207705084788,2024-01-16 08:09:31.216839,2024-01-16 08:16:01.534051,0 days 00:06:30.317212,8,0.1,5.0,vinai/bertweet-base,,cnn,,0.00030160450308979337,cross_entropy,15,SGD,PRUNED
11,11,0.5829989518821376,2024-01-16 08:16:01.579085,2024-01-16 08:21:39.982233,0 days 00:05:38.403148,8,0.5,,,bert-base-uncased,mlp,,0.0012495319352821607,cross_entropy,11,SGD,COMPLETE
12,12,0.6666444729138647,2024-01-16 08:21:40.009987,2024-01-16 08:27:22.035283,0 days 00:05:42.025296,8,0.4,,,roberta-base,mlp,,0.00599737621239676,cross_entropy,12,SGD,PRUNED
13,13,0.1644144144144144,2024-01-16 08:27:22.079082,2024-01-16 08:29:18.544437,0 days 00:01:56.465355,8,0.4,,,roberta-base,mlp,,0.0008854010017374798,cross_entropy,12,SGD,PRUNED
14,14,0.1644144144144144,2024-01-16 08:29:18.590595,2024-01-16 08:31:30.681934,0 days 00:02:12.091339,8,0.4,1.0,xlm-roberta-base,,cnn,,0.005047424969124983,cross_entropy,13,SGD,PRUNED
15,15,0.24328722538649308,2024-01-16 08:31:30.970830,2024-01-16 08:35:33.141948,0 days 00:04:02.171118,8,0.1,,,bert-base-uncased,mlp,,0.008094538303313376,cross_entropy,10,RMSprop,COMPLETE
16,16,0.24328722538649308,2024-01-16 08:35:33.189246,2024-01-16 08:39:20.626002,0 days 00:03:47.436756,8,0.2,,,roberta-base,mlp,,0.0014992994771609277,cross_entropy,15,SGD,COMPLETE
17,17,0.531725591510004,2024-01-16 08:39:20.658943,2024-01-16 08:45:00.042821,0 days 00:05:39.383878,8,0.5,,,bert-base-uncased,mlp,,0.004545727852635951,cross_entropy,11,SGD,PRUNED
18,18,0.5261487705560642,2024-01-16 08:45:00.084646,2024-01-16 08:49:28.987991,0 days 00:04:28.903345,8,0.4,3.0,xlm-roberta-base,,cnn,,0.008143422347834255,cross_entropy,14,SGD,COMPLETE
19,19,0.24328722538649308,2024-01-16 08:49:29.031217,2024-01-16 08:54:36.548316,0 days 00:05:07.517099,8,0.2,,,xlm-roberta-base,mlp,,0.005759407072120078,cross_entropy,7,RMSprop,COMPLETE
