,number,value,datetime_start,datetime_complete,duration,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-12 22:22:29.047117,2024-01-12 22:28:41.022953,0 days 00:06:11.975836,0.1,1.0,vinai/bertweet-base,,cnn,5.0,0.008227705055887642,focal,2,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-12 22:28:41.065064,2024-01-12 22:34:39.039732,0 days 00:05:57.974668,0.1,5.0,bert-base-uncased,,cnn,,0.0013052759027767228,cross_entropy,12,RMSprop,COMPLETE
2,2,0.24328722538649308,2024-01-12 22:34:39.066495,2024-01-12 22:39:25.568436,0 days 00:04:46.501941,0.5,,,vinai/bertweet-base,mlp,,0.008747263794091834,cross_entropy,4,SGD,COMPLETE
3,3,0.6922041184644897,2024-01-12 22:39:25.591343,2024-01-12 22:58:14.870846,0 days 00:18:49.279503,0.5,,,roberta-base,mlp,1.0,0.009164559211150248,focal,6,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-12 22:58:14.893338,2024-01-12 23:04:09.130997,0 days 00:05:54.237659,0.1,,,roberta-base,mlp,3.0,0.003795986206788525,focal,11,Adam,COMPLETE
5,5,0.24328722538649308,2024-01-12 23:04:09.178794,2024-01-12 23:10:01.746816,0 days 00:05:52.568022,0.5,2.0,roberta-base,,cnn,,0.007106714070094777,cross_entropy,8,RMSprop,COMPLETE
6,6,0.7090957377159522,2024-01-12 23:10:01.770925,2024-01-12 23:30:56.049272,0 days 00:20:54.278347,0.1,4.0,bert-base-uncased,,cnn,,0.008585346023849092,cross_entropy,10,SGD,COMPLETE
7,7,0.24328722538649308,2024-01-12 23:30:56.091576,2024-01-12 23:37:23.836112,0 days 00:06:27.744536,0.1,4.0,roberta-base,,cnn,,0.007896494541777238,cross_entropy,4,Adam,COMPLETE
8,8,0.6863328363120513,2024-01-12 23:37:23.859855,2024-01-12 23:49:25.865361,0 days 00:12:02.005506,0.1,1.0,roberta-base,,cnn,,0.004370608155712622,cross_entropy,13,SGD,PRUNED
9,9,0.24328722538649308,2024-01-12 23:49:25.914847,2024-01-12 23:55:26.911102,0 days 00:06:00.996255,0.2,4.0,vinai/bertweet-base,,cnn,4.0,0.0020458071715034405,focal,13,RMSprop,COMPLETE
10,10,0.1644144144144144,2024-01-12 23:55:26.946094,2024-01-12 23:59:40.598632,0 days 00:04:13.652538,0.30000000000000004,,,xlm-roberta-base,mlp,,0.005850722333901503,cross_entropy,9,AdamW,PRUNED
11,11,0.24328722538649308,2024-01-12 23:59:40.630163,2024-01-13 00:07:49.224670,0 days 00:08:08.594507,0.4,,,microsoft/deberta-base,mlp,1.0,0.009904971514756245,focal,7,SGD,COMPLETE
12,12,0.6604386887166895,2024-01-13 00:07:49.247531,2024-01-13 00:14:48.698194,0 days 00:06:59.450663,0.30000000000000004,,,roberta-base,mlp,1.0,0.00985420799427933,focal,15,SGD,PRUNED
13,13,0.5718491854922528,2024-01-13 00:14:48.754704,2024-01-13 00:21:33.434756,0 days 00:06:44.680052,0.4,,,bert-base-uncased,mlp,2.0,0.006449886163907829,focal,5,SGD,PRUNED
14,14,0.31025036245919774,2024-01-13 00:21:33.459190,2024-01-13 00:26:29.306899,0 days 00:04:55.847709,0.2,3.0,bert-base-uncased,,cnn,,2.233892081931598e-05,cross_entropy,9,SGD,COMPLETE
15,15,0.24328722538649308,2024-01-13 00:26:29.335445,2024-01-13 00:31:01.726766,0 days 00:04:32.391321,0.4,,,roberta-base,mlp,2.0,0.008946639586232718,focal,6,SGD,COMPLETE
16,16,0.6780631717747297,2024-01-13 00:31:01.750644,2024-01-13 00:45:48.878791,0 days 00:14:47.128147,0.2,5.0,xlm-roberta-base,,cnn,,0.005219634713066925,cross_entropy,10,SGD,PRUNED
17,17,0.24328722538649308,2024-01-13 00:45:49.092728,2024-01-13 00:51:41.461341,0 days 00:05:52.368613,0.5,,,bert-base-uncased,mlp,3.0,0.007465539706617051,focal,7,AdamW,COMPLETE
18,18,0.24328722538649308,2024-01-13 00:51:41.485271,2024-01-13 00:57:54.491835,0 days 00:06:13.006564,0.30000000000000004,3.0,bert-base-uncased,,cnn,1.0,0.006667617366329228,focal,3,Adam,COMPLETE
19,19,0.24328722538649308,2024-01-13 00:57:54.514478,2024-01-13 01:06:46.465693,0 days 00:08:51.951215,0.4,,,microsoft/deberta-base,mlp,,0.009213982156572173,cross_entropy,6,SGD,COMPLETE
