,number,value,datetime_start,datetime_complete,duration,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.687659541250118,2024-01-13 01:06:51.800419,2024-01-13 01:28:19.634207,0 days 00:21:27.833788,0.5,5.0,bert-base-uncased,,cnn,3.0,0.009785271069411926,focal,8,SGD,COMPLETE
1,1,0.24328722538649308,2024-01-13 01:28:19.673976,2024-01-13 01:35:55.715504,0 days 00:07:36.041528,0.30000000000000004,5.0,xlm-roberta-base,,cnn,3.0,0.007978563233676546,focal,9,RMSprop,COMPLETE
2,2,0.24328722538649308,2024-01-13 01:35:55.745217,2024-01-13 01:41:48.633320,0 days 00:05:52.888103,0.30000000000000004,,,roberta-base,mlp,5.0,0.004436307991262581,focal,5,Adam,COMPLETE
3,3,0.24328722538649308,2024-01-13 01:41:48.656933,2024-01-13 01:52:03.444347,0 days 00:10:14.787414,0.1,,,microsoft/deberta-base,mlp,4.0,0.006080755826643559,focal,11,Adam,COMPLETE
4,4,0.24328722538649308,2024-01-13 01:52:03.476789,2024-01-13 02:00:23.169307,0 days 00:08:19.692518,0.30000000000000004,,,xlm-roberta-base,mlp,4.0,0.005248023917311497,focal,15,AdamW,COMPLETE
5,5,0.24328722538649308,2024-01-13 02:00:23.191445,2024-01-13 02:06:55.489712,0 days 00:06:32.298267,0.4,5.0,bert-base-uncased,,cnn,,0.006861030638022021,cross_entropy,14,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-13 02:06:55.511958,2024-01-13 02:12:53.704088,0 days 00:05:58.192130,0.30000000000000004,2.0,bert-base-uncased,,cnn,,0.005665986371875199,cross_entropy,3,AdamW,COMPLETE
7,7,0.6053962419459088,2024-01-13 02:12:53.726522,2024-01-13 02:18:20.786892,0 days 00:05:27.060370,0.30000000000000004,5.0,roberta-base,,cnn,4.0,0.007381158187077718,focal,11,SGD,PRUNED
8,8,0.1644144144144144,2024-01-13 02:18:20.833621,2024-01-13 02:21:46.788444,0 days 00:03:25.954823,0.1,,,xlm-roberta-base,mlp,,0.004300450840414367,cross_entropy,13,RMSprop,PRUNED
9,9,0.24328722538649308,2024-01-13 02:21:46.995887,2024-01-13 02:27:34.312746,0 days 00:05:47.316859,0.4,3.0,roberta-base,,cnn,1.0,0.001967056153527443,focal,12,RMSprop,COMPLETE
10,10,0.6297968315986621,2024-01-13 02:27:34.338332,2024-01-13 02:32:15.214175,0 days 00:04:40.875843,0.5,1.0,vinai/bertweet-base,,cnn,,0.009645050295280871,cross_entropy,7,SGD,PRUNED
11,11,0.1644144144144144,2024-01-13 02:32:15.238804,2024-01-13 02:36:09.935885,0 days 00:03:54.697081,0.5,5.0,xlm-roberta-base,,cnn,2.0,0.009893266893317746,focal,8,RMSprop,PRUNED
12,12,0.5897429926133202,2024-01-13 02:36:10.149079,2024-01-13 02:41:58.755564,0 days 00:05:48.606485,0.2,4.0,xlm-roberta-base,,cnn,3.0,0.008386589204196526,focal,9,SGD,PRUNED
13,13,0.24328722538649308,2024-01-13 02:41:59.041079,2024-01-13 02:49:28.082760,0 days 00:07:29.041681,0.4,4.0,xlm-roberta-base,,cnn,2.0,0.00818062469024306,focal,6,RMSprop,COMPLETE
14,14,0.2530904200733423,2024-01-13 02:49:28.111996,2024-01-13 02:54:29.822322,0 days 00:05:01.710326,0.2,4.0,bert-base-uncased,,cnn,3.0,0.00043436581778218044,focal,9,SGD,PRUNED
15,15,0.24328722538649308,2024-01-13 02:54:29.861678,2024-01-13 03:00:19.723489,0 days 00:05:49.861811,0.5,3.0,vinai/bertweet-base,,cnn,2.0,0.009003690471042335,focal,4,RMSprop,COMPLETE
16,16,0.639581962265086,2024-01-13 03:00:19.785935,2024-01-13 03:05:44.166195,0 days 00:05:24.380260,0.2,5.0,bert-base-uncased,,cnn,3.0,0.0076819396384475115,focal,2,SGD,PRUNED
17,17,0.24328722538649308,2024-01-13 03:05:44.189019,2024-01-13 03:14:23.012323,0 days 00:08:38.823304,0.4,4.0,xlm-roberta-base,,cnn,5.0,0.003105081919148015,focal,10,Adam,COMPLETE
18,18,0.24328722538649308,2024-01-13 03:14:23.036131,2024-01-13 03:19:37.696963,0 days 00:05:14.660832,0.5,,,vinai/bertweet-base,mlp,,0.006675647304345441,cross_entropy,7,RMSprop,COMPLETE
19,19,0.6448405592708394,2024-01-13 03:19:37.719561,2024-01-13 03:24:23.141190,0 days 00:04:45.421629,0.2,2.0,bert-base-uncased,,cnn,1.0,0.00888607087367257,focal,8,SGD,PRUNED
