,number,value,datetime_start,datetime_complete,duration,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-13 03:24:28.077631,2024-01-13 03:29:25.861883,0 days 00:04:57.784252,0.5,,,roberta-base,mlp,,0.008264264283995681,cross_entropy,7,RMSprop,COMPLETE
1,1,0.6917410333308952,2024-01-13 03:29:25.886050,2024-01-13 03:49:38.834523,0 days 00:20:12.948473,0.2,3.0,bert-base-uncased,,cnn,5.0,0.005227661336044791,focal,15,SGD,COMPLETE
2,2,0.24328722538649308,2024-01-13 03:49:38.865806,2024-01-13 03:55:27.992295,0 days 00:05:49.126489,0.2,4.0,bert-base-uncased,,cnn,5.0,0.0059404474499467645,focal,10,RMSprop,COMPLETE
3,3,0.7003298653805635,2024-01-13 03:55:28.016460,2024-01-13 04:16:28.181926,0 days 00:21:00.165466,0.1,4.0,vinai/bertweet-base,,cnn,2.0,0.009769304013042046,focal,3,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-13 04:16:28.224149,2024-01-13 04:24:23.263823,0 days 00:07:55.039674,0.30000000000000004,,,xlm-roberta-base,mlp,,0.0035771523048336883,cross_entropy,3,Adam,COMPLETE
5,5,0.1644144144144144,2024-01-13 04:24:23.310842,2024-01-13 04:27:25.328507,0 days 00:03:02.017665,0.4,3.0,bert-base-uncased,,cnn,2.0,0.003118117590113858,focal,10,Adam,PRUNED
6,6,0.24328722538649308,2024-01-13 04:27:25.352531,2024-01-13 04:32:54.217897,0 days 00:05:28.865366,0.30000000000000004,,,bert-base-uncased,mlp,,0.008636377577249131,cross_entropy,4,Adam,COMPLETE
7,7,0.24328722538649308,2024-01-13 04:32:54.257593,2024-01-13 04:39:06.933547,0 days 00:06:12.675954,0.4,2.0,bert-base-uncased,,cnn,5.0,0.006021076335653449,focal,4,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-13 04:39:06.956236,2024-01-13 04:45:57.581195,0 days 00:06:50.624959,0.5,5.0,vinai/bertweet-base,,cnn,4.0,0.008352345285799069,focal,14,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-13 04:45:57.604402,2024-01-13 04:54:37.730668,0 days 00:08:40.126266,0.4,,,microsoft/deberta-base,mlp,2.0,0.005665819630292492,focal,15,SGD,COMPLETE
10,10,0.16896178129786676,2024-01-13 04:54:37.753711,2024-01-13 04:57:37.502656,0 days 00:02:59.748945,0.1,5.0,xlm-roberta-base,,cnn,,0.00022973626391553474,cross_entropy,7,SGD,PRUNED
11,11,0.6765361820795707,2024-01-13 04:57:37.760543,2024-01-13 05:10:15.567768,0 days 00:12:37.807225,0.1,3.0,vinai/bertweet-base,,cnn,1.0,0.009594746261225957,focal,12,SGD,PRUNED
12,12,0.24294245385450597,2024-01-13 05:10:15.621339,2024-01-13 05:12:37.867485,0 days 00:02:22.246146,0.2,1.0,roberta-base,,cnn,3.0,0.001493954918893705,focal,2,SGD,PRUNED
13,13,0.5589606296933213,2024-01-13 05:12:37.925967,2024-01-13 05:17:55.992417,0 days 00:05:18.066450,0.2,4.0,vinai/bertweet-base,,cnn,3.0,0.004041884234042067,focal,7,SGD,PRUNED
14,14,0.24328722538649308,2024-01-13 05:17:56.018056,2024-01-13 05:27:00.300979,0 days 00:09:04.282923,0.1,4.0,xlm-roberta-base,,cnn,1.0,0.007729338730240722,focal,13,AdamW,COMPLETE
15,15,0.7102397567248516,2024-01-13 05:27:00.324043,2024-01-13 05:46:53.875613,0 days 00:19:53.551570,0.2,2.0,roberta-base,,cnn,4.0,0.007038443744557024,focal,11,SGD,COMPLETE
16,16,0.7008726131569728,2024-01-13 05:46:53.918188,2024-01-13 06:06:12.358408,0 days 00:19:18.440220,0.1,1.0,roberta-base,,cnn,4.0,0.009904273365499466,focal,11,SGD,COMPLETE
17,17,0.7059185922599042,2024-01-13 06:06:12.447685,2024-01-13 06:25:20.675045,0 days 00:19:08.227360,0.2,1.0,roberta-base,,cnn,4.0,0.006929297387235357,focal,11,SGD,COMPLETE
18,18,0.24328722538649308,2024-01-13 06:25:20.715929,2024-01-13 06:31:19.800826,0 days 00:05:59.084897,0.30000000000000004,,,vinai/bertweet-base,mlp,,0.007445311928306464,cross_entropy,9,AdamW,COMPLETE
19,19,0.24328722538649308,2024-01-13 06:31:19.831033,2024-01-13 06:36:52.941360,0 days 00:05:33.110327,0.2,2.0,roberta-base,,cnn,4.0,0.006965497884529139,focal,12,RMSprop,COMPLETE
