,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-21 05:31:59.796991,2024-01-21 05:52:13.169034,0 days 00:20:13.372043,8,0.5,4.0,roberta-base,,cnn,4.0,0.001162993236626434,focal,9,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-21 05:52:13.191887,2024-01-21 06:16:56.905220,0 days 00:24:43.713333,8,0.30000000000000004,4.0,xlm-roberta-base,,cnn,,0.004641577010813142,cross_entropy,14,Adam,COMPLETE
2,2,0.5136819951831094,2024-01-21 06:16:56.948132,2024-01-21 06:41:16.189661,0 days 00:24:19.241529,4,0.30000000000000004,1.0,bert-base-uncased,,cnn,2.0,0.001051667945703804,focal,7,AdamW,COMPLETE
3,3,0.24328722538649308,2024-01-21 06:41:16.210814,2024-01-21 07:19:40.942239,0 days 00:38:24.731425,4,0.5,,,microsoft/deberta-base,mlp,,0.009846144688429332,cross_entropy,8,Adam,COMPLETE
4,4,0.4709044834002751,2024-01-21 07:19:40.963995,2024-01-21 07:40:34.181046,0 days 00:20:53.217051,4,0.4,,,bert-base-uncased,mlp,1.0,0.0006752085439025102,focal,12,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-21 07:40:34.202001,2024-01-21 08:06:36.020689,0 days 00:26:01.818688,4,0.30000000000000004,2.0,vinai/bertweet-base,,cnn,,0.009344226076713211,cross_entropy,9,Adam,COMPLETE
6,6,0.1644144144144144,2024-01-21 08:06:36.041947,2024-01-21 08:09:45.649853,0 days 00:03:09.607906,8,0.2,,,microsoft/deberta-base,mlp,,0.0097267901646621,cross_entropy,6,Adam,PRUNED
7,7,0.5136819951831094,2024-01-21 08:09:45.700885,2024-01-21 08:27:56.212801,0 days 00:18:10.511916,8,0.30000000000000004,,,roberta-base,mlp,1.0,0.004267278552714007,focal,2,Adam,COMPLETE
8,8,0.24328722538649308,2024-01-21 08:27:56.233568,2024-01-21 08:46:34.091389,0 days 00:18:37.857821,8,0.4,4.0,roberta-base,,cnn,4.0,0.005748794628918599,focal,12,RMSprop,COMPLETE
9,9,0.5136819951831094,2024-01-21 08:46:34.113368,2024-01-21 09:05:17.644615,0 days 00:18:43.531247,8,0.5,1.0,vinai/bertweet-base,,cnn,,0.00683341842916776,cross_entropy,2,AdamW,COMPLETE
