,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-20 20:11:08.560202,2024-01-20 20:34:05.439771,0 days 00:22:56.879569,4,0.4,1.0,roberta-base,,cnn,3.0,0.0012980308959098762,focal,13,RMSprop,COMPLETE
1,1,0.24328722538649308,2024-01-20 20:34:05.462231,2024-01-20 20:58:41.076739,0 days 00:24:35.614508,8,0.1,,,microsoft/deberta-base,mlp,,0.006306169314118721,cross_entropy,4,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-20 20:58:41.102771,2024-01-20 21:21:12.620255,0 days 00:22:31.517484,8,0.2,5.0,xlm-roberta-base,,cnn,,0.0034891259956936387,cross_entropy,12,RMSprop,COMPLETE
3,3,0.24328722538649308,2024-01-20 21:21:12.644329,2024-01-20 21:41:38.549870,0 days 00:20:25.905541,8,0.1,,,xlm-roberta-base,mlp,4.0,0.008153421329383705,focal,6,RMSprop,COMPLETE
4,4,0.24328722538649308,2024-01-20 21:41:38.572641,2024-01-20 22:18:38.539688,0 days 00:36:59.967047,4,0.30000000000000004,,,microsoft/deberta-base,mlp,2.0,0.005066268860648804,focal,13,RMSprop,COMPLETE
5,5,0.24328722538649308,2024-01-20 22:18:38.569062,2024-01-20 22:43:42.642426,0 days 00:25:04.073364,8,0.2,,,microsoft/deberta-base,mlp,5.0,0.008718540241662397,focal,15,AdamW,COMPLETE
6,6,0.24328722538649308,2024-01-20 22:43:42.664192,2024-01-20 23:09:55.384689,0 days 00:26:12.720497,4,0.5,5.0,bert-base-uncased,,cnn,,0.007840841827257373,cross_entropy,11,Adam,COMPLETE
7,7,0.24328722538649308,2024-01-20 23:09:55.406030,2024-01-20 23:44:26.084518,0 days 00:34:30.678488,4,0.30000000000000004,,,xlm-roberta-base,mlp,,0.009955087432662043,cross_entropy,3,AdamW,COMPLETE
8,8,0.24328722538649308,2024-01-20 23:44:26.109872,2024-01-21 00:09:19.991274,0 days 00:24:53.881402,4,0.1,,,vinai/bertweet-base,mlp,,0.007023513126414786,cross_entropy,10,Adam,COMPLETE
9,9,0.6785667900446498,2024-01-21 00:09:20.012707,2024-01-21 00:47:30.179786,0 days 00:38:10.167079,4,0.30000000000000004,5.0,xlm-roberta-base,,cnn,,0.00012138990317683414,cross_entropy,12,AdamW,COMPLETE
