,number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.5119491740787802,2024-01-21 09:05:21.998689,2024-01-21 09:22:51.931717,0 days 00:17:29.933028,8,0.1,,,bert-base-uncased,mlp,4.0,0.002609258115411481,focal,5,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-21 09:22:51.954349,2024-01-21 09:49:54.494325,0 days 00:27:02.539976,4,0.1,4.0,vinai/bertweet-base,,cnn,1.0,0.0017153958558797527,focal,6,AdamW,COMPLETE
2,2,0.24328722538649308,2024-01-21 09:49:54.514754,2024-01-21 10:18:27.230418,0 days 00:28:32.715664,4,0.2,2.0,xlm-roberta-base,,cnn,2.0,0.007870283529371412,focal,5,RMSprop,COMPLETE
3,3,0.6796946182613596,2024-01-21 10:18:27.257158,2024-01-21 10:35:27.424013,0 days 00:17:00.166855,8,0.1,4.0,bert-base-uncased,,cnn,2.0,0.006048799482626401,focal,13,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-21 10:35:27.450514,2024-01-21 10:52:40.818452,0 days 00:17:13.367938,8,0.2,,,bert-base-uncased,mlp,1.0,0.009322968307771478,focal,9,Adam,COMPLETE
5,5,0.05950991831971995,2024-01-21 10:52:40.840026,2024-01-21 10:55:03.020934,0 days 00:02:22.180908,8,0.1,,,vinai/bertweet-base,mlp,,0.0015503657419609817,cross_entropy,13,AdamW,PRUNED
6,6,0.24328722538649308,2024-01-21 10:55:03.060454,2024-01-21 11:15:29.132115,0 days 00:20:26.071661,4,0.1,,,bert-base-uncased,mlp,5.0,0.0054592317715951464,focal,10,RMSprop,COMPLETE
7,7,0.24328722538649308,2024-01-21 11:15:29.153906,2024-01-21 11:50:17.105494,0 days 00:34:47.951588,4,0.4,2.0,xlm-roberta-base,,cnn,1.0,0.00464796358940363,focal,8,AdamW,COMPLETE
8,8,0.1644144144144144,2024-01-21 11:50:17.126666,2024-01-21 11:52:56.162848,0 days 00:02:39.036182,4,0.2,,,vinai/bertweet-base,mlp,,0.006658114352715065,cross_entropy,6,RMSprop,PRUNED
9,9,0.3210141689608948,2024-01-21 11:52:56.209083,2024-01-21 12:11:34.749813,0 days 00:18:38.540730,8,0.4,3.0,bert-base-uncased,,cnn,,0.009550458479184815,cross_entropy,5,AdamW,COMPLETE
